internal_drug_id,entity_type,rxcui,properties
DRUG_000186,AMBIGUOUS_MAPPING_COMPONENT,356887,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1', 'inchikey': 'ZKLPARSLTMPFCP-OAQYLSRUSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000187,AMBIGUOUS_MAPPING_COMPONENT,20610,"{'source_membership': 'twosides_only', 'canonical_smiles': 'O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1', 'inchikey': 'ZKLPARSLTMPFCP-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000210,AMBIGUOUS_MAPPING_COMPONENT,6373,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC', 'inchikey': 'WWYNJERNGUHSAO-XUDSTZEESA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000211,AMBIGUOUS_MAPPING_COMPONENT,7518,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC', 'inchikey': 'WWYNJERNGUHSAO-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000212,AMBIGUOUS_MAPPING_COMPONENT,7518,"{'source_membership': 'twosides_only', 'canonical_smiles': 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC', 'inchikey': 'WWYNJERNGUHSAO-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000242,AMBIGUOUS_MAPPING_COMPONENT,461016,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1', 'inchikey': 'GBBSUAFBMRNDJC-INIZCTEOSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000243,AMBIGUOUS_MAPPING_COMPONENT,40001,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1', 'inchikey': 'GBBSUAFBMRNDJC-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000244,AMBIGUOUS_MAPPING_COMPONENT,40001,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1', 'inchikey': 'GBBSUAFBMRNDJC-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000259,AMBIGUOUS_MAPPING_COMPONENT,6901,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COC(=O)C(c1ccccc1)C1CCCCN1', 'inchikey': 'DUGOZIWVEXMGBE-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000260,AMBIGUOUS_MAPPING_COMPONENT,352372,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COC(=O)C(c1ccccc1)C1CCCCN1', 'inchikey': 'DUGOZIWVEXMGBE-CHWSQXEVSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000261,AMBIGUOUS_MAPPING_COMPONENT,6901,"{'source_membership': 'twosides_only', 'canonical_smiles': 'COC(=O)C(c1ccccc1)C1CCCCN1', 'inchikey': 'DUGOZIWVEXMGBE-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000263,AMBIGUOUS_MAPPING_COMPONENT,153970,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'inchikey': 'RKUNBYITZUJHSG-FXUDXRNXSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000264,AMBIGUOUS_MAPPING_COMPONENT,1223,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'inchikey': 'RKUNBYITZUJHSG-SPUOUPEWSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000265,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'inchikey': 'RKUNBYITZUJHSG-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000282,AMBIGUOUS_MAPPING_COMPONENT,1514,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO', 'inchikey': 'UREBDLICKHMUKA-DVTGEIKXSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000283,AMBIGUOUS_MAPPING_COMPONENT,3264,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO', 'inchikey': 'UREBDLICKHMUKA-CXSFZGCWSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000284,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO', 'inchikey': 'UREBDLICKHMUKA-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000288,AMBIGUOUS_MAPPING_COMPONENT,17128,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1', 'inchikey': 'MJIHNNLFOKEZEW-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000289,AMBIGUOUS_MAPPING_COMPONENT,816346,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1', 'inchikey': 'MJIHNNLFOKEZEW-RUZDIDTESA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000290,AMBIGUOUS_MAPPING_COMPONENT,17128,"{'source_membership': 'twosides_only', 'canonical_smiles': 'Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1', 'inchikey': 'MJIHNNLFOKEZEW-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000307,AMBIGUOUS_MAPPING_COMPONENT,9071,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12', 'inchikey': 'LOUPRKONTZGTKE-WZBLMQSHSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000308,AMBIGUOUS_MAPPING_COMPONENT,9068,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12', 'inchikey': 'LOUPRKONTZGTKE-LHHVKLHASA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000309,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'twosides_only', 'canonical_smiles': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12', 'inchikey': 'LOUPRKONTZGTKE-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000355,AMBIGUOUS_MAPPING_COMPONENT,81864,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O', 'inchikey': 'SHGAZHPCJJPHSC-ZVCIMWCZSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000356,AMBIGUOUS_MAPPING_COMPONENT,10753,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O', 'inchikey': 'SHGAZHPCJJPHSC-YCNIQYBTSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000357,AMBIGUOUS_MAPPING_COMPONENT,6064,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O', 'inchikey': 'SHGAZHPCJJPHSC-XFYACQKRSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000358,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O', 'inchikey': 'SHGAZHPCJJPHSC-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000540,AMBIGUOUS_MAPPING_COMPONENT,1219,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1', 'inchikey': 'XXZSQOVSEBAPGS-UHFFFAOYSA-L', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000541,AMBIGUOUS_MAPPING_COMPONENT,,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1', 'inchikey': 'XXZSQOVSEBAPGS-DONVQRBFSA-L', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000542,AMBIGUOUS_MAPPING_COMPONENT,1219,"{'source_membership': 'twosides_only', 'canonical_smiles': 'COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1', 'inchikey': 'XXZSQOVSEBAPGS-UHFFFAOYSA-L', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000553,AMBIGUOUS_MAPPING_COMPONENT,30125,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'NC(=O)CS(=O)C(c1ccccc1)c1ccccc1', 'inchikey': 'YFGHCGITMMYXAQ-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000554,AMBIGUOUS_MAPPING_COMPONENT,30125,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'NC(=O)CS(=O)C(c1ccccc1)c1ccccc1', 'inchikey': 'YFGHCGITMMYXAQ-LJQANCHMSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000555,AMBIGUOUS_MAPPING_COMPONENT,30125,"{'source_membership': 'twosides_only', 'canonical_smiles': 'NC(=O)CS(=O)C(c1ccccc1)c1ccccc1', 'inchikey': 'YFGHCGITMMYXAQ-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000763,AMBIGUOUS_MAPPING_COMPONENT,25255,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1', 'inchikey': 'BPZSYCZIITTYBL-UHFFFAOYSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000764,AMBIGUOUS_MAPPING_COMPONENT,304962,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1', 'inchikey': 'BPZSYCZIITTYBL-YJYMSZOUSA-N', 'name_source': 'rxnav_drugbank_id_lookup', 'name_resolution_status': 'AUTHORITATIVE_NAME', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_identifier_based', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000765,AMBIGUOUS_MAPPING_COMPONENT,25255,"{'source_membership': 'twosides_only', 'canonical_smiles': 'COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1', 'inchikey': 'BPZSYCZIITTYBL-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'HIGH_EXACT', 'rxnorm_match_method': 'exact_name_lookup', 'match_score': 100.0, 'enrichment_confidence': 'HIGH_EXACT', 'created_from_phase': 'Phase 1 & Phase 2'}"
