internal_drug_id,entity_type,status,properties
DRUG_000295,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN(C)C1C(O)=C(C(=O)NCO)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12', 'inchikey': 'GJGDLRSSCNAKGL-KMVLDZISSA-N', 'name_source': 'none', 'name_resolution_status': 'NO_NAME_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000309,AMBIGUOUS_MAPPING_COMPONENT,NO_MATCH,"{'source_membership': 'twosides_only', 'canonical_smiles': 'C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12', 'inchikey': 'LOUPRKONTZGTKE-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000358,AMBIGUOUS_MAPPING_COMPONENT,NO_MATCH,"{'source_membership': 'twosides_only', 'canonical_smiles': 'CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O', 'inchikey': 'SHGAZHPCJJPHSC-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000366,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'O=P1(N(CCCl)CCCl)NCCCO1', 'inchikey': 'CMSMOCZEIVJLDB-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000376,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2', 'inchikey': 'GJSLOMWRLALDCT-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000388,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO', 'inchikey': 'GJPICJJJRGTNOD-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000503,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1', 'inchikey': 'FUBBGQLTSCSAON-PBFPGSCMSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000541,AMBIGUOUS_MAPPING_COMPONENT,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1', 'inchikey': 'XXZSQOVSEBAPGS-DONVQRBFSA-L', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000576,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CCN(CC)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C', 'inchikey': 'FWFVLWGEFDIZMJ-FOMYWIRZSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000637,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O', 'inchikey': 'IBALRBWGSVJPAP-FXBPSFAMSA-N', 'name_source': 'none', 'name_resolution_status': 'NO_NAME_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000678,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O', 'inchikey': 'IIDJRNMFWXDHID-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000784,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'NC(=O)NO', 'inchikey': 'VSNHCAURESNICA-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000812,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC=CCC=CCCC(=O)C1OC1C(N)=O', 'inchikey': 'GVEZIHKRYBHEFX-NQQPLRFYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000820,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12', 'inchikey': 'XUBOMFCQGDBHNK-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000861,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1', 'inchikey': 'XSBSKEQEUFOSDD-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000912,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'NCCCNCCSP(=O)(O)O', 'inchikey': 'JKOQGQFVAUAYPM-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_000967,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'O=C(O)CCCCON=C(c1cccnc1)c1cccc(C(F)(F)F)c1', 'inchikey': 'GLLPUTYLZIKEGF-HAVVHWLPSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001000,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C', 'inchikey': 'MTCUAOILFDZKCO-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001007,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'O=C(O)C(CC(=O)N1CC2CCCCC2C1)Cc1ccccc1', 'inchikey': 'WPGGHFDDFPHPOB-BBWFWOEESA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001009,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1', 'inchikey': 'ZBNZXTGUTAYRHI-UHFFFAOYSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001023,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)NC(=O)CCCSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O', 'inchikey': 'NSTRIRCPWQHTIA-DTRKZRJBSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001024,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1', 'inchikey': 'KHPKQFYUPIUARC-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001027,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1', 'inchikey': 'ZKUDBRCEOBOWLF-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001030,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC', 'inchikey': 'HXLAFSUPPDYFEO-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001053,CONFIRMED_INTEGRATED_ENTITY,AMBIGUOUS_CLINICAL_MAPPING,"{'source_membership': 'both', 'canonical_smiles': 'CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1', 'inchikey': 'BGSZAXLLHYERSY-XQIGCQGXSA-N', 'name_source': 'pubchem_cid_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'AMBIGUOUS_CLINICAL_MAPPING', 'rxnorm_match_method': 'conflict_resolution', 'match_score': 0.0, 'enrichment_confidence': 'AMBIGUOUS_CLINICAL_MAPPING', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001057,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2', 'inchikey': 'ADXGNEYLLLSOAR-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001060,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O', 'inchikey': 'UYXAWHWODHRRMR-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001074,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO', 'inchikey': 'MKPDWECBUAZOHP-AFYJWTTESA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001091,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1', 'inchikey': 'NBQKINXMPLXUET-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001094,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1', 'inchikey': 'RRYMAQUWDLIUPV-BXKDBHETSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001100,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'O=[N+]([O-])c1ccc(O)c2ncccc12', 'inchikey': 'RJIWZDNTCBHXAL-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001101,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CC(SC(=O)c1cccs1)C(=O)NCC(=O)O', 'inchikey': 'JNYSEDHQJCOWQU-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001105,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1', 'inchikey': 'NZLBHDRPUJLHCE-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
DRUG_001114,CONFIRMED_INTEGRATED_ENTITY,NO_MATCH,"{'source_membership': 'drugbank_only', 'canonical_smiles': 'CCNC1C2CCC(C2)C1c1ccccc1', 'inchikey': 'IKFBPFGUINLYQI-UHFFFAOYSA-N', 'name_source': 'pubchem_inchikey_lookup', 'name_resolution_status': 'PUBCHEM_TITLE_CANDIDATE', 'rxnorm_match_status': 'NO_MATCH', 'rxnorm_match_method': 'none', 'match_score': 0.0, 'enrichment_confidence': 'NO_MATCH', 'created_from_phase': 'Phase 1 & Phase 2'}"
