internal_drug_id,entity_type,source_membership,canonical_smiles,inchikey
DRUG_000013,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CSCCC(N)C(=O)O,FFEARJCKVFRZRR-BYPYZUCNSA-N
DRUG_000014,CONFIRMED_INTEGRATED_ENTITY,both,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,GMRQFYUYWCNGIN-NKMMMXOESA-N
DRUG_000015,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,AUNGANRZJHBGPY-SCRDCRAPSA-N
DRUG_000016,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,NC(CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-VKHMYHEASA-N
DRUG_000017,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,JWUBBDSIWDLEOM-DTOXIADCSA-N
DRUG_000018,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,NC(Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-VIFPVBQESA-N
DRUG_000019,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,JZRWCGZRTZMZEH-UHFFFAOYSA-N
DRUG_000020,CONFIRMED_INTEGRATED_ENTITY,both,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,MECHNRXZTMCUDQ-RKHKHRCZSA-N
DRUG_000021,CONFIRMED_INTEGRATED_ENTITY,both,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-LBPRGKRZSA-N
DRUG_000022,CONFIRMED_INTEGRATED_ENTITY,both,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DRUG_000023,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,GVJHHUAWPYXKBD-IEOSBIPESA-N
DRUG_000024,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Cc1ncc(CO)c(CO)c1O,LXNHXLLTXMVWPM-UHFFFAOYSA-N
DRUG_000025,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,O=C(O)CCCCC1CCSS1,AGBQKNBQESQNJD-SSDOTTSWSA-N
DRUG_000026,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,QYSXJUFSXHHAJI-YRZJJWOYSA-N
DRUG_000027,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N
DRUG_000028,CONFIRMED_INTEGRATED_ENTITY,both,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,TUZYXOIXSAXUGO-PZAWKZKUSA-N
DRUG_000029,CONFIRMED_INTEGRATED_ENTITY,both,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,CJOFXWAVKWHTFT-XSFVSMFZSA-N
DRUG_000030,CONFIRMED_INTEGRATED_ENTITY,both,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,ACWBQPMHZXGDFX-QFIPXVFZSA-N
DRUG_000031,CONFIRMED_INTEGRATED_ENTITY,both,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,HDACQVRGBOVJII-JBDAPHQKSA-N
DRUG_000032,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,HCZKYJDFEPMADG-TXEJJXNPSA-N
DRUG_000033,CONFIRMED_INTEGRATED_ENTITY,both,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,XSFJVAJPIHIPKU-XWCQMRHXSA-N
DRUG_000034,CONFIRMED_INTEGRATED_ENTITY,both,NCC(CC(=O)O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-UHFFFAOYSA-N
DRUG_000035,AMBIGUOUS_MAPPING_COMPONENT,drugbank_only,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N
DRUG_000036,AMBIGUOUS_MAPPING_COMPONENT,drugbank_only,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-QMMMGPOBSA-N
DRUG_000037,AMBIGUOUS_MAPPING_COMPONENT,twosides_only,CC(N)Cc1ccccc1,KWTSXDURSIMDCE-UHFFFAOYSA-N
DRUG_000038,CONFIRMED_INTEGRATED_ENTITY,both,CN1CCCC1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N
DRUG_000039,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC1OC2(CS1)CN1CCC2CC1,WUTYZMFRCNBCHQ-LHIURRSHSA-N
DRUG_000040,CONFIRMED_INTEGRATED_ENTITY,both,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,DIWRORZWFLOCLC-UHFFFAOYSA-N
DRUG_000041,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,AQNDDEOPVVGCPG-UHFFFAOYSA-N
DRUG_000042,CONFIRMED_INTEGRATED_ENTITY,both,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-RDJZCZTQSA-N
DRUG_000043,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,C#CC(O)(C=CCl)CC,ZEHYJZXQEQOSON-AATRIKPKSA-N
DRUG_000044,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,TZFNLOMSOLWIDK-JTQLQIEISA-N
DRUG_000045,CONFIRMED_INTEGRATED_ENTITY,both,CC(C)(N)Cc1ccccc1,DHHVAGZRUROJKS-UHFFFAOYSA-N
DRUG_000046,CONFIRMED_INTEGRATED_ENTITY,both,COc1cccc(C2(O)CCCCC2CN(C)C)c1,TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DRUG_000047,CONFIRMED_INTEGRATED_ENTITY,both,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,NWIUTZDMDHAVTP-UHFFFAOYSA-N
DRUG_000048,CONFIRMED_INTEGRATED_ENTITY,both,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,RFHAOTPXVQNOHP-UHFFFAOYSA-N
DRUG_000049,CONFIRMED_INTEGRATED_ENTITY,both,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,VSZGPKBBMSAYNT-RRFJBIMHSA-N
DRUG_000050,CONFIRMED_INTEGRATED_ENTITY,both,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,ULGZDMOVFRHVEP-RWJQBGPGSA-N
DRUG_000051,CONFIRMED_INTEGRATED_ENTITY,both,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N
DRUG_000052,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,AXOIZCJOOAYSMI-UHFFFAOYSA-N
DRUG_000053,CONFIRMED_INTEGRATED_ENTITY,both,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,BNRNXUUZRGQAQC-UHFFFAOYSA-N
DRUG_000054,CONFIRMED_INTEGRATED_ENTITY,both,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,IXTMWRCNAAVVAI-UHFFFAOYSA-N
DRUG_000055,CONFIRMED_INTEGRATED_ENTITY,both,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,WKSAUQYGYAYLPV-UHFFFAOYSA-N
DRUG_000056,CONFIRMED_INTEGRATED_ENTITY,both,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,QEVHRUUCFGRFIF-MDEJGZGSSA-N
DRUG_000057,CONFIRMED_INTEGRATED_ENTITY,both,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N
DRUG_000058,CONFIRMED_INTEGRATED_ENTITY,both,Clc1ccccc1CN1CCc2sccc2C1,PHWBOXQYWZNQIN-UHFFFAOYSA-N
DRUG_000059,CONFIRMED_INTEGRATED_ENTITY,both,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,OYYDSUSKLWTMMQ-JKHIJQBDSA-N
DRUG_000060,CONFIRMED_INTEGRATED_ENTITY,both,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LZCDAPDGXCYOEH-UHFFFAOYSA-N
DRUG_000061,CONFIRMED_INTEGRATED_ENTITY,both,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,PTKSEFOSCHHMPD-UHFFFAOYSA-N
DRUG_000062,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1,UXIGZRQVLGFTOU-VQXQMPIVSA-N
DRUG_000063,CONFIRMED_INTEGRATED_ENTITY,both,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,IQPSEEYGBUAQFF-UHFFFAOYSA-N
DRUG_000064,CONFIRMED_INTEGRATED_ENTITY,both,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,NGBFQHCMQULJNZ-UHFFFAOYSA-N
DRUG_000065,AMBIGUOUS_MAPPING_COMPONENT,drugbank_only,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,WSEQXVZVJXJVFP-UHFFFAOYSA-N
DRUG_000066,AMBIGUOUS_MAPPING_COMPONENT,drugbank_only,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,WSEQXVZVJXJVFP-FQEVSTJZSA-N
DRUG_000067,AMBIGUOUS_MAPPING_COMPONENT,twosides_only,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,WSEQXVZVJXJVFP-UHFFFAOYSA-N
DRUG_000068,CONFIRMED_INTEGRATED_ENTITY,both,CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,PWVXXGRKLHYWKM-LJQANCHMSA-N
DRUG_000069,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CN=C(NC)NCc1ccccc1,NIVZHWNOUVJHKV-UHFFFAOYSA-N
DRUG_000070,CONFIRMED_INTEGRATED_ENTITY,both,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,FABPRXSRWADJSP-MEDUHNTESA-N
DRUG_000071,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,GFRUPHOKLBPHTQ-UHFFFAOYSA-N
DRUG_000072,CONFIRMED_INTEGRATED_ENTITY,both,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,QAGYKUNXZHXKMR-HKWSIXNMSA-N
DRUG_000073,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,HUYWAWARQUIQLE-UHFFFAOYSA-N
DRUG_000074,CONFIRMED_INTEGRATED_ENTITY,both,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,WIGIZIANZCJQQY-RUCARUNLSA-N
DRUG_000075,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,WXURHACBFYSXBI-XHIJKXOTSA-N
DRUG_000076,CONFIRMED_INTEGRATED_ENTITY,both,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,CBVCZFGXHXORBI-PXQQMZJSSA-N
DRUG_000077,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,NC(N)=NCC1COC2(CCCCC2)O1,HPBNRIOWIXYZFK-UHFFFAOYSA-N
DRUG_000078,CONFIRMED_INTEGRATED_ENTITY,both,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,PCZOHLXUXFIOCF-BXMDZJJMSA-N
DRUG_000079,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,FC(F)OC(F)(F)C(F)Cl,JPGQOUSTVILISH-UHFFFAOYSA-N
DRUG_000080,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,QYQDKDWGWDOFFU-IUODEOHRSA-N
DRUG_000081,CONFIRMED_INTEGRATED_ENTITY,both,CC(C)CC(CN)CC(=O)O,AYXYPKUFHZROOJ-ZETCQYMHSA-N
DRUG_000082,CONFIRMED_INTEGRATED_ENTITY,both,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,SEQDDYPDSLOBDC-UHFFFAOYSA-N
DRUG_000083,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,CESYKOGBSMNBPD-UHFFFAOYSA-N
DRUG_000084,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Nc1ccc(C(=O)O)c(O)c1,WUBBRNOQWQTFEX-UHFFFAOYSA-N
DRUG_000085,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,CBQGYUDMJHNJBX-RTBURBONSA-N
DRUG_000086,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,PZRHRDRVRGEVNW-UHFFFAOYSA-N
DRUG_000087,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,NJBFOOCLYDNZJN-UHFFFAOYSA-N
DRUG_000088,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,ZRIHAIZYIMGOAB-UHFFFAOYSA-N
DRUG_000089,CONFIRMED_INTEGRATED_ENTITY,both,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,NQDJXKOVJZTUJA-UHFFFAOYSA-N
DRUG_000090,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,QRJJEGAJXVEBNE-HKOYGPOVSA-N
DRUG_000091,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,FJXOGVLKCZQRDN-PHCHRAKRSA-N
DRUG_000092,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,UZVHFVZFNXBMQJ-UHFFFAOYSA-N
DRUG_000093,CONFIRMED_INTEGRATED_ENTITY,both,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,PTOAARAWEBMLNO-KVQBGUIXSA-N
DRUG_000094,CONFIRMED_INTEGRATED_ENTITY,both,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DRUG_000095,CONFIRMED_INTEGRATED_ENTITY,both,Nc1ccc(O)c(C(=O)O)c1,KBOPZPXVLCULAV-UHFFFAOYSA-N
DRUG_000096,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,GIJXKZJWITVLHI-PMOLBWCYSA-N
DRUG_000097,CONFIRMED_INTEGRATED_ENTITY,both,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,MVWVFYHBGMAFLY-UHFFFAOYSA-N
DRUG_000098,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,KPJZHOPZRAFDTN-NQUBZZJWSA-N
DRUG_000099,CONFIRMED_INTEGRATED_ENTITY,both,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,KORNTPPJEAJQIU-KJXAQDMKSA-N
DRUG_000100,CONFIRMED_INTEGRATED_ENTITY,both,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,MQJKPEGWNLWLTK-UHFFFAOYSA-N
DRUG_000101,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,BLSQLHNBWJLIBQ-OZXSUGGESA-N
DRUG_000102,CONFIRMED_INTEGRATED_ENTITY,both,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CXOFVDLJLONNDW-UHFFFAOYSA-N
DRUG_000103,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,GZENKSODFLBBHQ-ILSZZQPISA-N
DRUG_000104,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,JBIWCJUYHHGXTC-AKNGSSGZSA-N
DRUG_000105,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,RGLYKWWBQGJZGM-ISLYRVAYSA-N
DRUG_000106,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CN(C)C1C(O)=C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,AHEVKYYGXVEWNO-UEPZRUIBSA-N
DRUG_000107,CONFIRMED_INTEGRATED_ENTITY,both,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N
DRUG_000108,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(=O)[O-].CC(=O)[O-].[Ca+2],VSGNNIFQASZAOI-UHFFFAOYSA-L
DRUG_000109,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Nc1ccc(S(N)(=O)=O)cc1,FDDDEECHVMSUSB-UHFFFAOYSA-N
DRUG_000110,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,NC1CONC1=O,DYDCUQKUCUHJBH-UWTATZPHSA-N
DRUG_000111,CONFIRMED_INTEGRATED_ENTITY,both,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,OTBXOEAOVRKTNQ-UHFFFAOYSA-N
DRUG_000112,CONFIRMED_INTEGRATED_ENTITY,both,O=NN(CCCl)C(=O)NCCCl,DLGOEMSEDOSKAD-UHFFFAOYSA-N
DRUG_000113,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,NHUHCSRWZMLRLA-UHFFFAOYSA-N
DRUG_000114,CONFIRMED_INTEGRATED_ENTITY,both,COCCc1ccc(OCC(O)CNC(C)C)cc1,IUBSYMUCCVWXPE-UHFFFAOYSA-N
DRUG_000115,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,DOBMPNYZJYQDGZ-UHFFFAOYSA-N
DRUG_000116,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,HJJDBAOLQAWBMH-YCRCPZNHSA-N
DRUG_000117,CONFIRMED_INTEGRATED_ENTITY,both,CCCN(CCC)CCc1cccc2c1CC(=O)N2,UHSKFQJFRQCDBE-UHFFFAOYSA-N
DRUG_000118,CONFIRMED_INTEGRATED_ENTITY,both,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,HMJIYCCIJYRONP-UHFFFAOYSA-N
DRUG_000119,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,YVPYQUNUQOZFHG-UHFFFAOYSA-N
DRUG_000120,CONFIRMED_INTEGRATED_ENTITY,both,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,KJADKKWYZYXHBB-XBWDGYHZSA-N
DRUG_000121,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,SNBUBQHDYVFSQF-HIFRSBDPSA-N
DRUG_000122,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,VTRAEEWXHOVJFV-UHFFFAOYSA-N
DRUG_000123,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,XCPGHVQEEXUHNC-UHFFFAOYSA-N
DRUG_000124,CONFIRMED_INTEGRATED_ENTITY,both,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N
DRUG_000125,CONFIRMED_INTEGRATED_ENTITY,drugbank_only,CC1CNc2c(cccc2S(=O)(=O)NC(CCCNC(=N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,KXNPVXPOPUZYGB-IOVMHBDKSA-N
