drugbank_id,twosides_id,mapping_confidence
DB00243,CID000056959,HIGH_EXACT
DB00244,CID000004075,HIGH_EXACT
DB00246,CID000060854,HIGH_EXACT
DB00248,CID000002512,MEDIUM_CANONICAL
DB00250,CID000002955,HIGH_EXACT
DB00252,CID000001775,HIGH_EXACT
DB00257,CID000002812,HIGH_EXACT
DB00261,CID000002182,HIGH_INCHIKEY
DB00262,CID000002578,HIGH_EXACT
DB00264,CID000004171,HIGH_EXACT
DB00268,CID000005095,HIGH_EXACT
DB00270,CID000003784,HIGH_EXACT
DB00273,CID000005514,MEDIUM_CANONICAL
DB00277,CID000002153,HIGH_EXACT
DB00279,CID000000861,MEDIUM_CANONICAL
DB00280,CID000003114,HIGH_EXACT
DB00281,CID000003676,HIGH_EXACT
DB00282,CID000004674,HIGH_EXACT
DB00285,CID000005656,HIGH_EXACT
DB00287,CID005282226,MEDIUM_CANONICAL
DB00289,CID000054841,MEDIUM_CANONICAL
DB00291,CID000002708,HIGH_EXACT
DB00292,CID000036339,MEDIUM_CANONICAL
DB00294,CID000040976,MEDIUM_CANONICAL
DB00295,CID000004253,MEDIUM_CANONICAL
DB00296,CID000071273,MEDIUM_CANONICAL
DB00297,CID000002474,HIGH_EXACT
DB01002,CID000002474,MEDIUM_CANONICAL
DB00300,CID005481350,MEDIUM_CANONICAL
DB00303,CID000150610,MEDIUM_CANONICAL
DB00305,CID000005746,MEDIUM_CANONICAL
DB00307,CID000082146,HIGH_EXACT
DB00310,CID000002732,HIGH_EXACT
DB00313,CID000003121,HIGH_EXACT
DB00315,CID000005731,MEDIUM_CANONICAL
DB00316,CID000001983,HIGH_EXACT
DB00317,CID000123631,HIGH_EXACT
DB00320,CID000003066,MEDIUM_CANONICAL
DB00321,CID000002160,HIGH_EXACT
DB00323,CID004659569,HIGH_EXACT
DB00324,CID000003384,MEDIUM_CANONICAL
DB00327,CID000003648,MEDIUM_CANONICAL
DB00328,CID000003715,HIGH_EXACT
DB00330,CID000003279,MEDIUM_CANONICAL
DB00331,CID000004091,HIGH_INCHIKEY
DB00332,CID000003746,MEDIUM_CANONICAL
DB00333,CID000004095,HIGH_EXACT
DB00335,CID000002249,HIGH_EXACT
DB00337,CID006447131,MEDIUM_CANONICAL
DB00338,CID000004594,HIGH_EXACT
DB00339,CID000001046,HIGH_EXACT
DB00341,CID000002678,HIGH_EXACT
DB06282,CID000002678,MEDIUM_CANONICAL
DB00346,CID000002092,HIGH_EXACT
DB00353,CID000004140,MEDIUM_CANONICAL
DB00356,CID000002733,HIGH_EXACT
DB00358,CID000004046,HIGH_EXACT
DB00359,CID000005215,HIGH_EXACT
DB00361,CID000005672,MEDIUM_CANONICAL
DB00367,CID000004542,MEDIUM_CANONICAL
DB09389,CID000004542,HIGH_EXACT
DB00370,CID000004205,HIGH_EXACT
DB00371,CID000004064,HIGH_EXACT
DB00373,CID000005478,MEDIUM_CANONICAL
DB00374,CID000054786,MEDIUM_CANONICAL
DB00376,CID000005572,HIGH_EXACT
DB00377,CID000148211,MEDIUM_CANONICAL
DB00379,CID000004178,HIGH_EXACT
DB00381,CID000002162,HIGH_EXACT
DB00390,CID000003062,MEDIUM_CANONICAL
DB00393,CID000004497,HIGH_EXACT
DB00395,CID000002576,HIGH_EXACT
DB00396,CID000004920,MEDIUM_CANONICAL
DB00398,CID000216239,HIGH_EXACT
DB00399,CID000068740,HIGH_EXACT
DB00401,CID000004499,HIGH_EXACT
DB00402,CID000005735,MEDIUM_CANONICAL
DB01198,CID000005735,HIGH_EXACT
DB00404,CID000002118,HIGH_EXACT
DB00408,CID000003964,HIGH_EXACT
DB00410,CID000004264,MEDIUM_CANONICAL
DB00411,CID000002551,HIGH_EXACT
DB00412,CID000077999,HIGH_EXACT
DB00413,CID000004885,MEDIUM_CANONICAL
DB00419,CID000051634,MEDIUM_CANONICAL
DB00421,CID000005267,MEDIUM_CANONICAL
DB00422,CID000004158,HIGH_EXACT
DB06701,CID000004158,MEDIUM_CANONICAL
DB00423,CID000004107,HIGH_EXACT
DB00424,CID000003661,MEDIUM_CANONICAL
DB00572,CID000003661,MEDIUM_CANONICAL
DB00425,CID000005732,HIGH_EXACT
DB00426,CID000003324,HIGH_EXACT
DB00433,CID000004917,HIGH_EXACT
DB00435,CID000145068,HIGH_EXACT
DB00438,CID000002650,MEDIUM_CANONICAL
DB00440,CID000005578,HIGH_EXACT
DB00441,CID000003461,MEDIUM_CANONICAL
DB00442,CID000153941,MEDIUM_CANONICAL
DB00443,CID000003003,MEDIUM_CANONICAL
DB01234,CID000003003,MEDIUM_CANONICAL
DB00446,CID000000298,MEDIUM_CANONICAL
DB00448,CID000003883,HIGH_EXACT
DB05351,CID000003883,MEDIUM_CANONICAL
DB00450,CID000003168,HIGH_EXACT
DB00451,CID000000853,MEDIUM_CANONICAL
DB00454,CID000004058,HIGH_EXACT
DB00455,CID000003957,HIGH_EXACT
DB00457,CID000004893,HIGH_EXACT
DB00458,CID000003696,HIGH_EXACT
DB00459,CID000041317,MEDIUM_CANONICAL
DB00460,CID005362420,MEDIUM_CANONICAL
DB00461,CID000004409,HIGH_EXACT
DB00465,CID000003826,HIGH_EXACT
DB00468,CID000001065,MEDIUM_CANONICAL
DB00908,CID000001065,MEDIUM_CANONICAL
DB00470,CID000002978,MEDIUM_CANONICAL
DB00472,CID000003386,HIGH_EXACT
DB00476,CID000060835,MEDIUM_CANONICAL
DB00477,CID000002726,HIGH_EXACT
DB00479,CID000002142,MEDIUM_CANONICAL
DB00480,CID000216326,HIGH_EXACT
DB00481,CID000005035,HIGH_EXACT
DB00482,CID000002662,HIGH_EXACT
DB00484,CID000002435,HIGH_EXACT
DB00486,CID000039860,MEDIUM_CANONICAL
DB00489,CID000005253,HIGH_EXACT
DB00490,CID000002477,HIGH_EXACT
DB00494,CID004659568,MEDIUM_CANONICAL
DB00495,CID000005726,MEDIUM_CANONICAL
DB00496,CID000072054,MEDIUM_CANONICAL
DB00497,CID000004635,MEDIUM_CANONICAL
DB00499,CID000003397,HIGH_EXACT
DB00501,CID000002756,HIGH_INCHIKEY
DB00502,CID000003559,HIGH_EXACT
DB00503,CID000005076,MEDIUM_CANONICAL
DB00512,CID000005651,MEDIUM_CANONICAL
DB00513,CID000000564,HIGH_EXACT
DB00514,CID000003008,MEDIUM_CANONICAL
DB00519,CID000005525,MEDIUM_CANONICAL
DB00523,CID000005538,MEDIUM_CANONICAL
DB00755,CID000005538,MEDIUM_CANONICAL
DB00982,CID000005538,MEDIUM_CANONICAL
DB00524,CID000004170,HIGH_EXACT
DB00530,CID000176870,HIGH_EXACT
DB00531,CID000002907,HIGH_EXACT
DB00535,CID006398970,MEDIUM_CANONICAL
DB00537,CID000002764,HIGH_EXACT
DB00540,CID000004543,HIGH_EXACT
DB00541,CID000005978,MEDIUM_CANONICAL
DB00542,CID000002311,MEDIUM_CANONICAL
DB00543,CID000002170,HIGH_EXACT
DB00544,CID000003385,HIGH_EXACT
DB00545,CID000004991,HIGH_EXACT
DB00548,CID000002266,HIGH_EXACT
DB00549,CID000005717,HIGH_EXACT
DB00550,CID000657298,HIGH_EXACT
DB00555,CID000003878,HIGH_EXACT
DB00557,CID000003658,HIGH_EXACT
DB00559,CID000104865,HIGH_EXACT
DB00563,CID000004112,MEDIUM_CANONICAL
DB00564,CID000002554,HIGH_EXACT
DB00567,CID000002666,MEDIUM_CANONICAL
DB00569,CID000163742,MEDIUM_CANONICAL
DB00570,CID000013342,MEDIUM_CANONICAL
DB00571,CID000004946,HIGH_EXACT
DB00575,CID000002803,HIGH_EXACT
DB00577,CID000005647,MEDIUM_CANONICAL
DB00582,CID000071616,MEDIUM_CANONICAL
DB00584,CID000003222,MEDIUM_CANONICAL
DB00585,CID000004513,HIGH_EXACT
DB00590,CID000003157,HIGH_EXACT
DB00591,CID000003381,MEDIUM_CANONICAL
DB00593,CID000003291,HIGH_EXACT
DB00594,CID000016231,HIGH_INCHIKEY
DB00598,CID000003869,HIGH_EXACT
DB00601,CID000003929,MEDIUM_CANONICAL
DB00602,CID006435110,MEDIUM_CANONICAL
DB00605,CID000005352,MEDIUM_CANONICAL
DB00608,CID000002719,HIGH_EXACT
DB00611,CID000002487,MEDIUM_CANONICAL
DB00612,CID000002405,HIGH_EXACT
DB00619,CID000005291,HIGH_EXACT
DB00620,CID000005544,MEDIUM_CANONICAL
DB00621,CID000005878,MEDIUM_CANONICAL
DB00623,CID000003372,HIGH_EXACT
DB00624,CID000005408,MEDIUM_CANONICAL
DB00625,CID000003203,MEDIUM_CANONICAL
DB00630,CID000002088,HIGH_EXACT
DB00631,CID000119182,MEDIUM_CANONICAL
DB00635,CID000004900,MEDIUM_CANONICAL
DB00640,CID000000191,MEDIUM_CANONICAL
DB00641,CID000054454,MEDIUM_CANONICAL
DB00642,CID000060843,MEDIUM_CANONICAL
DB00648,CID000004211,HIGH_EXACT
DB00649,CID000005155,MEDIUM_CANONICAL
DB00652,CID000004736,MEDIUM_CANONICAL
DB00654,CID000003890,MEDIUM_CANONICAL
DB00656,CID000005533,HIGH_EXACT
DB00658,CID003085017,HIGH_EXACT
DB00661,CID000002520,HIGH_EXACT
DB00668,CID000000838,MEDIUM_CANONICAL
DB00669,CID000005358,HIGH_EXACT
DB00671,CID000002675,MEDIUM_CANONICAL
DB00672,CID000002727,HIGH_EXACT
DB00674,CID000003449,MEDIUM_CANONICAL
DB00675,CID000005376,MEDIUM_CANONICAL
DB00678,CID000003961,HIGH_EXACT
DB00681,CID000001972,MEDIUM_CANONICAL
DB00683,CID000004192,HIGH_EXACT
DB00684,CID000005496,MEDIUM_CANONICAL
DB00690,CID000003393,HIGH_EXACT
DB00691,CID000091270,MEDIUM_CANONICAL
DB00695,CID000003440,HIGH_EXACT
DB00697,CID000005487,HIGH_EXACT
DB00698,CID000004509,MEDIUM_CANONICAL
DB00700,CID000150310,MEDIUM_CANONICAL
DB00701,CID000002177,MEDIUM_CANONICAL
DB00704,CID000004428,MEDIUM_CANONICAL
DB00706,CID000060147,MEDIUM_CANONICAL
DB00708,CID000041693,HIGH_EXACT
DB00709,CID000003877,MEDIUM_CANONICAL
DB00710,CID000060852,HIGH_EXACT
DB00712,CID000003394,HIGH_EXACT
DB00714,CID000002215,MEDIUM_CANONICAL
DB00715,CID000004691,MEDIUM_CANONICAL
DB00717,CID000004536,MEDIUM_CANONICAL
DB00718,CID000060871,HIGH_EXACT
DB00722,CID000003937,MEDIUM_CANONICAL
DB00724,CID000057469,HIGH_EXACT
DB00726,CID000005584,HIGH_EXACT
DB00727,CID000004510,HIGH_EXACT
DB00728,CID000060696,MEDIUM_CANONICAL
DB00732,CID000047320,HIGH_EXACT
DB13450,CID000047320,MEDIUM_CANONICAL
DB00734,CID000005073,HIGH_EXACT
DB00737,CID000004034,HIGH_EXACT
DB00740,CID000005070,HIGH_EXACT
DB00741,CID000003640,MEDIUM_CANONICAL
DB00742,CID000000453,MEDIUM_CANONICAL
DB00745,CID000004236,HIGH_EXACT
DB06413,CID000004236,MEDIUM_CANONICAL
DB00746,CID000002973,HIGH_EXACT
DB00747,CID000005184,MEDIUM_CANONICAL
DB00749,CID000003308,HIGH_EXACT
DB00752,CID000005530,HIGH_EXACT
DB00753,CID000003763,HIGH_EXACT
DB00757,CID000003148,MEDIUM_CANONICAL
DB00758,CID000002806,MEDIUM_CANONICAL
DB00761,CID000004873,HIGH_EXACT
DB00762,CID000003750,MEDIUM_CANONICAL
DB00763,CID001349907,HIGH_EXACT
DB00764,CID000123620,MEDIUM_CANONICAL
DB00768,CID000060865,MEDIUM_CANONICAL
DB00770,CID000000214,MEDIUM_CANONICAL
DB00773,CID000003310,MEDIUM_CANONICAL
DB00775,CID000005486,MEDIUM_CANONICAL
DB00776,CID000034312,HIGH_EXACT
DB00780,CID000003675,HIGH_EXACT
DB00783,CID000000450,MEDIUM_CANONICAL
DB00784,CID000004044,HIGH_EXACT
DB00787,CID000002022,HIGH_EXACT
DB00788,CID000001302,MEDIUM_CANONICAL
DB00790,CID000060184,MEDIUM_CANONICAL
DB00794,CID000004909,HIGH_EXACT
DB00798,CID000003467,HIGH_EXACT
DB00799,CID000005381,HIGH_EXACT
DB00802,CID000051263,HIGH_EXACT
DB00804,CID000003042,HIGH_EXACT
DB00806,CID000004740,HIGH_EXACT
DB00808,CID000003702,HIGH_EXACT
DB00809,CID000005593,HIGH_EXACT
DB00811,CID000005064,MEDIUM_CANONICAL
DB00813,CID000003345,HIGH_EXACT
DB00818,CID000004943,HIGH_EXACT
DB00819,CID000001986,HIGH_EXACT
DB00820,CID000110635,MEDIUM_CANONICAL
DB00822,CID000003117,HIGH_EXACT
DB00829,CID000003016,HIGH_EXACT
DB00833,CID000002609,MEDIUM_CANONICAL
DB00841,CID000036811,HIGH_EXACT
DB00842,CID000004616,HIGH_EXACT
DB00843,CID000003152,HIGH_EXACT
DB00844,CID000004419,MEDIUM_CANONICAL
DB00850,CID000004748,HIGH_EXACT
DB00853,CID000005394,HIGH_EXACT
DB00857,CID000005402,MEDIUM_CANONICAL
DB00859,CID000004727,MEDIUM_CANONICAL
DB00860,CID000004894,MEDIUM_CANONICAL
DB00861,CID000003059,HIGH_EXACT
DB00862,CID000110634,HIGH_EXACT
DB00863,CID000005039,HIGH_EXACT
DB00864,CID000005372,MEDIUM_CANONICAL
DB00869,CID000003154,MEDIUM_CANONICAL
DB00877,CID000005040,MEDIUM_CANONICAL
DB00879,CID000060877,MEDIUM_CANONICAL
DB00880,CID000002720,HIGH_EXACT
DB00881,CID000005005,MEDIUM_CANONICAL
DB00882,CID000002800,HIGH_EXACT
DB00883,CID000003780,MEDIUM_CANONICAL
DB00884,CID000005245,HIGH_EXACT
DB00887,CID000002471,HIGH_EXACT
DB00889,CID000003510,MEDIUM_CANONICAL
DB00897,CID000005556,HIGH_EXACT
DB00899,CID000060815,HIGH_EXACT
DB00900,CID000003043,MEDIUM_CANONICAL
DB00903,CID000003278,HIGH_EXACT
DB00904,CID000004595,HIGH_EXACT
DB00905,CID005311027,MEDIUM_CANONICAL
DB00906,CID000005466,MEDIUM_CANONICAL
DB00909,CID000005734,HIGH_EXACT
DB00910,CID005281104,MEDIUM_CANONICAL
DB00912,CID000004547,MEDIUM_CANONICAL
DB00915,CID000002130,HIGH_EXACT
DB00916,CID000004173,HIGH_EXACT
DB00917,CID000000158,MEDIUM_CANONICAL
DB00918,CID000123606,HIGH_EXACT
DB00920,CID000003827,HIGH_EXACT
DB00921,CID000002476,MEDIUM_CANONICAL
DB00924,CID000002895,HIGH_EXACT
DB00927,CID000003325,HIGH_EXACT
DB00929,CID004183806,MEDIUM_CANONICAL
DB00934,CID000004011,HIGH_EXACT
DB00938,CID000005152,HIGH_EXACT
DB00945,CID000002244,HIGH_EXACT
DB00947,CID000104741,MEDIUM_CANONICAL
DB00950,CID000003348,HIGH_EXACT
DB00951,CID000003767,HIGH_EXACT
DB00952,CID000004440,HIGH_EXACT
DB00953,CID000005078,HIGH_EXACT
DB00959,CID000004159,MEDIUM_CANONICAL
DB00960,CID000004828,HIGH_EXACT
DB00962,CID000005719,HIGH_EXACT
DB00966,CID000065999,HIGH_EXACT
DB00967,CID000124087,HIGH_EXACT
DB00968,CID000004138,MEDIUM_CANONICAL
DB00969,CID000002099,HIGH_EXACT
DB00970,CID000002019,MEDIUM_CANONICAL
DB00972,CID000002267,HIGH_EXACT
DB00973,CID000150311,MEDIUM_CANONICAL
DB00975,CID000003108,HIGH_EXACT
DB00976,CID003002190,MEDIUM_CANONICAL
DB00983,CID000003410,HIGH_EXACT
DB01274,CID000003410,MEDIUM_CANONICAL
DB00986,CID000003494,HIGH_EXACT
DB00987,CID000000596,MEDIUM_CANONICAL
DB00989,CID000005077,MEDIUM_CANONICAL
DB00990,CID000060198,MEDIUM_CANONICAL
DB00991,CID000004614,HIGH_EXACT
DB00993,CID000002265,HIGH_EXACT
DB00996,CID000003446,HIGH_EXACT
DB00998,CID000077992,MEDIUM_CANONICAL
DB00999,CID000003639,HIGH_EXACT
DB01001,CID000002083,HIGH_EXACT
DB13139,CID000002083,MEDIUM_CANONICAL
DB01004,CID000003454,HIGH_INCHIKEY
DB01005,CID000003657,HIGH_EXACT
DB01006,CID000003902,HIGH_EXACT
DB01007,CID000005482,HIGH_EXACT
DB01008,CID000002478,HIGH_EXACT
DB01009,CID000003825,HIGH_EXACT
DB09214,CID000003825,MEDIUM_CANONICAL
DB01012,CID000156419,MEDIUM_CANONICAL
DB01016,CID000003488,HIGH_EXACT
DB01019,CID000002370,HIGH_EXACT
DB01020,CID000027661,MEDIUM_CANONICAL
DB01022,CID000004812,MEDIUM_CANONICAL
DB01023,CID000003333,HIGH_EXACT
DB01026,CID000003823,HIGH_EXACT
DB01029,CID000003749,HIGH_EXACT
DB01030,CID000005515,MEDIUM_CANONICAL
DB01032,CID000004911,HIGH_EXACT
DB01033,CID000667490,HIGH_EXACT
DB01035,CID000004913,HIGH_EXACT
DB01036,CID000005512,MEDIUM_CANONICAL
DB01037,CID000005195,MEDIUM_CANONICAL
DB01039,CID000003339,HIGH_EXACT
DB01041,CID000005426,HIGH_EXACT
DB01042,CID000004053,MEDIUM_CANONICAL
DB01043,CID000004054,HIGH_EXACT
DB01044,CID000005379,HIGH_EXACT
DB01047,CID000003382,MEDIUM_CANONICAL
DB01048,CID000001971,MEDIUM_CANONICAL
DB01050,CID000003672,HIGH_EXACT
DB01053,CID000002349,MEDIUM_CANONICAL
DB01059,CID000004539,HIGH_EXACT
DB01060,CID000002171,MEDIUM_CANONICAL
DB01062,CID000004634,HIGH_EXACT
DB01066,CID009571074,MEDIUM_CANONICAL
DB01067,CID000003478,HIGH_EXACT
DB01068,CID000002802,HIGH_EXACT
DB01069,CID000004927,HIGH_EXACT
DB01072,CID000148192,MEDIUM_CANONICAL
DB01073,CID000003367,MEDIUM_CANONICAL
DB01076,CID000002250,MEDIUM_CANONICAL
DB01077,CID000003305,HIGH_EXACT
DB01083,CID000004599,MEDIUM_CANONICAL
DB01085,CID000004819,MEDIUM_CANONICAL
DB01088,CID005311181,MEDIUM_CANONICAL
DB01095,CID000003403,MEDIUM_CANONICAL
DB01097,CID000003899,HIGH_EXACT
DB01101,CID000060953,MEDIUM_CANONICAL
DB01104,CID000005203,MEDIUM_CANONICAL
DB01105,CID000005210,HIGH_EXACT
DB01110,CID000004189,HIGH_EXACT
DB01114,CID000002725,HIGH_EXACT
DB01115,CID000004485,HIGH_EXACT
DB01124,CID000005505,HIGH_EXACT
DB01126,CID000152945,MEDIUM_CANONICAL
DB01127,CID000003198,HIGH_EXACT
DB01128,CID000002375,HIGH_EXACT
DB01129,CID000005029,HIGH_EXACT
DB01132,CID000004829,HIGH_EXACT
DB01136,CID000002585,HIGH_EXACT
DB01137,CID000004583,MEDIUM_CANONICAL
DB01165,CID000004583,HIGH_EXACT
DB01140,CID000002610,MEDIUM_CANONICAL
DB01142,CID000003158,HIGH_EXACT
DB01143,CID000002141,HIGH_EXACT
DB01149,CID000004449,HIGH_EXACT
DB01150,CID000002646,MEDIUM_CANONICAL
DB01151,CID000002995,HIGH_EXACT
DB01155,CID000072938,MEDIUM_CANONICAL
DB01156,CID000000444,HIGH_EXACT
DB01159,CID000003562,HIGH_EXACT
DB01162,CID000005401,HIGH_EXACT
DB01167,CID000003793,MEDIUM_CANONICAL
DB01172,CID000000815,MEDIUM_CANONICAL
DB01173,CID000004601,HIGH_EXACT
DB01181,CID000003690,HIGH_EXACT
DB01182,CID000004932,HIGH_EXACT
DB01183,CID000004425,MEDIUM_CANONICAL
DB01186,CID000004745,MEDIUM_CANONICAL
DB01188,CID000002749,HIGH_EXACT
DB01189,CID000042113,HIGH_EXACT
DB01190,CID000002786,MEDIUM_CANONICAL
DB01193,CID000001978,HIGH_EXACT
DB01194,CID000068844,MEDIUM_CANONICAL
DB01197,CID000002550,MEDIUM_CANONICAL
DB01202,CID000059708,MEDIUM_CANONICAL
DB01203,CID000004411,MEDIUM_CANONICAL
DB01204,CID000004212,HIGH_EXACT
DB01205,CID000003373,HIGH_EXACT
DB01210,CID000003914,MEDIUM_CANONICAL
DB01211,CID000054688,MEDIUM_CANONICAL
DB01215,CID000003261,HIGH_EXACT
DB01216,CID000003350,MEDIUM_CANONICAL
DB01217,CID000002187,HIGH_EXACT
DB01220,CID006436173,MEDIUM_CANONICAL
DB01221,CID000003821,HIGH_EXACT
DB01222,CID000002462,MEDIUM_CANONICAL
DB01223,CID000009433,HIGH_EXACT
DB01224,CID000005002,HIGH_EXACT
DB01229,CID000004666,MEDIUM_CANONICAL
DB01232,CID000060787,MEDIUM_CANONICAL
DB01233,CID000004168,HIGH_EXACT
DB01236,CID000005206,HIGH_EXACT
DB01238,CID000060795,HIGH_EXACT
DB01240,CID000000159,MEDIUM_CANONICAL
DB01241,CID000003463,HIGH_EXACT
DB01242,CID000002801,HIGH_EXACT
DB01248,CID000003143,MEDIUM_CANONICAL
DB01249,CID000003724,HIGH_EXACT
DB01254,CID003062316,HIGH_EXACT
DB01260,CID000012536,MEDIUM_CANONICAL
DB01263,CID000147912,MEDIUM_CANONICAL
DB01264,CID000213039,MEDIUM_CANONICAL
DB01267,CID000115237,HIGH_EXACT
DB01268,CID005329102,MEDIUM_CANONICAL
DB01273,CID000170361,HIGH_EXACT
DB01275,CID000003637,HIGH_EXACT
DB01291,CID000004845,HIGH_EXACT
DB01319,CID000131536,MEDIUM_CANONICAL
DB01320,CID000056339,HIGH_EXACT
DB01333,CID000002673,MEDIUM_CANONICAL
DB01337,CID000004675,MEDIUM_CANONICAL
DB01339,CID000039765,MEDIUM_CANONICAL
DB01362,CID000003730,HIGH_EXACT
DB01367,CID000122316,MEDIUM_CANONICAL
DB01390,CID000008953,HIGH_EXACT
DB01406,CID000002949,MEDIUM_CANONICAL
DB01409,CID000060831,MEDIUM_CANONICAL
DB01410,CID000444033,MEDIUM_CANONICAL
DB01413,CID000002622,MEDIUM_CANONICAL
DB01416,CID000054547,MEDIUM_CANONICAL
DB01577,CID000001206,MEDIUM_CANONICAL
DB01586,CID000005645,MEDIUM_CANONICAL
DB06777,CID000005645,MEDIUM_CANONICAL
DB01589,CID000004999,HIGH_EXACT
DB01591,CID000154059,MEDIUM_CANONICAL
DB01595,CID000004506,HIGH_EXACT
DB01610,CID000064147,MEDIUM_CANONICAL
DB01611,CID000003652,HIGH_EXACT
DB01623,CID000005454,MEDIUM_CANONICAL
DB01627,CID000003928,MEDIUM_CANONICAL
DB02300,CID000002522,MEDIUM_CANONICAL
DB04572,CID000005453,HIGH_EXACT
DB05271,CID000057537,MEDIUM_CANONICAL
DB06403,CID000197712,MEDIUM_CANONICAL
DB06700,CID000125017,HIGH_EXACT
DB08947,CID000003734,MEDIUM_CANONICAL
DB09026,CID005493444,MEDIUM_CANONICAL
DB09134,CID000003741,HIGH_EXACT
DB09153,CID000005234,HIGH_EXACT
DB09156,CID000003736,HIGH_EXACT
DB11596,CID000000143,MEDIUM_CANONICAL
