internal_drug_id,source_dataset,source_drug_id,mapping_confidence
DRUG_000050,drugbank,DB00199,MEDIUM_CANONICAL
DRUG_000050,twosides,CID000003255,MEDIUM_CANONICAL
DRUG_000051,drugbank,DB00201,HIGH_EXACT
DRUG_000051,twosides,CID000002519,HIGH_EXACT
DRUG_000052,drugbank,DB00202,unmapped
DRUG_000053,drugbank,DB00203,HIGH_INCHIKEY
DRUG_000053,twosides,CID000005212,HIGH_INCHIKEY
DRUG_000054,drugbank,DB00204,HIGH_EXACT
DRUG_000054,twosides,CID000071329,HIGH_EXACT
DRUG_000055,drugbank,DB00205,HIGH_EXACT
DRUG_000055,twosides,CID000004993,HIGH_EXACT
DRUG_000056,drugbank,DB00206,MEDIUM_CANONICAL
DRUG_000056,twosides,CID000005052,MEDIUM_CANONICAL
DRUG_000057,drugbank,DB00207,MEDIUM_CANONICAL
DRUG_000057,twosides,CID000002269,MEDIUM_CANONICAL
DRUG_000058,drugbank,DB00208,HIGH_EXACT
DRUG_000058,twosides,CID000005472,HIGH_EXACT
DRUG_000059,drugbank,DB00209,MEDIUM_CANONICAL
DRUG_000059,twosides,CID000005596,MEDIUM_CANONICAL
DRUG_000060,drugbank,DB00210,HIGH_EXACT
DRUG_000060,twosides,CID000060164,HIGH_EXACT
DRUG_000061,drugbank,DB00211,HIGH_EXACT
DRUG_000061,twosides,CID000004195,HIGH_EXACT
DRUG_000062,drugbank,DB00212,unmapped
DRUG_000063,drugbank,DB00213,HIGH_EXACT
DRUG_000063,twosides,CID000004679,HIGH_EXACT
DRUG_000064,drugbank,DB00214,HIGH_EXACT
DRUG_000064,twosides,CID000041781,HIGH_EXACT
DRUG_000065,drugbank,DB00215,ambiguous
DRUG_000066,drugbank,DB01175,ambiguous
DRUG_000067,twosides,CID000002771,ambiguous
DRUG_000068,drugbank,DB00216,MEDIUM_CANONICAL
DRUG_000068,twosides,CID000077993,MEDIUM_CANONICAL
DRUG_000069,drugbank,DB00217,unmapped
DRUG_000070,drugbank,DB00218,MEDIUM_CANONICAL
DRUG_000070,twosides,CID000004259,MEDIUM_CANONICAL
DRUG_000071,drugbank,DB00219,unmapped
DRUG_000072,drugbank,DB00220,MEDIUM_CANONICAL
DRUG_000072,twosides,CID000004451,MEDIUM_CANONICAL
DRUG_000073,drugbank,DB00221,unmapped
DRUG_000074,drugbank,DB00222,MEDIUM_CANONICAL
DRUG_000074,twosides,CID000003476,MEDIUM_CANONICAL
DRUG_000075,drugbank,DB00223,unmapped
DRUG_000076,drugbank,DB00224,MEDIUM_CANONICAL
DRUG_000076,twosides,CID000003706,MEDIUM_CANONICAL
DRUG_000077,drugbank,DB00226,unmapped
DRUG_000078,drugbank,DB00227,MEDIUM_CANONICAL
DRUG_000078,twosides,CID000003962,MEDIUM_CANONICAL
DRUG_000079,drugbank,DB00228,unmapped
DRUG_000080,drugbank,DB00229,unmapped
DRUG_000081,drugbank,DB00230,MEDIUM_CANONICAL
DRUG_000081,twosides,CID000125889,MEDIUM_CANONICAL
DRUG_000082,drugbank,DB00231,HIGH_EXACT
DRUG_000082,twosides,CID000005391,HIGH_EXACT
DRUG_000083,drugbank,DB00232,unmapped
DRUG_000084,drugbank,DB00233,unmapped
DRUG_000085,drugbank,DB00234,unmapped
DRUG_000086,drugbank,DB00235,unmapped
DRUG_000087,drugbank,DB00236,unmapped
DRUG_000088,drugbank,DB00237,unmapped
DRUG_000089,drugbank,DB00238,HIGH_EXACT
DRUG_000089,twosides,CID000004463,HIGH_EXACT
DRUG_000090,drugbank,DB00239,unmapped
DRUG_000091,drugbank,DB00240,unmapped
DRUG_000092,drugbank,DB00241,unmapped
DRUG_000093,drugbank,DB00242,MEDIUM_CANONICAL
DRUG_000093,twosides,CID000001546,MEDIUM_CANONICAL
DRUG_000094,drugbank,DB00243,HIGH_EXACT
DRUG_000094,twosides,CID000056959,HIGH_EXACT
DRUG_000095,drugbank,DB00244,HIGH_EXACT
DRUG_000095,twosides,CID000004075,HIGH_EXACT
DRUG_000096,drugbank,DB00245,unmapped
DRUG_000097,drugbank,DB00246,HIGH_EXACT
DRUG_000097,twosides,CID000060854,HIGH_EXACT
DRUG_000098,drugbank,DB00247,unmapped
DRUG_000099,drugbank,DB00248,MEDIUM_CANONICAL
DRUG_000099,twosides,CID000002512,MEDIUM_CANONICAL
DRUG_000100,drugbank,DB00250,HIGH_EXACT
DRUG_000100,twosides,CID000002955,HIGH_EXACT
DRUG_000101,drugbank,DB00251,unmapped
DRUG_000102,drugbank,DB00252,HIGH_EXACT
DRUG_000102,twosides,CID000001775,HIGH_EXACT
DRUG_000103,drugbank,DB00253,unmapped
DRUG_000104,drugbank,DB00254,unmapped
DRUG_000105,drugbank,DB00255,unmapped
DRUG_000106,drugbank,DB00256,unmapped
DRUG_000107,drugbank,DB00257,HIGH_EXACT
DRUG_000107,twosides,CID000002812,HIGH_EXACT
DRUG_000108,drugbank,DB00258,unmapped
DRUG_000109,drugbank,DB00259,unmapped
DRUG_000110,drugbank,DB00260,unmapped
DRUG_000111,drugbank,DB00261,HIGH_INCHIKEY
DRUG_000111,twosides,CID000002182,HIGH_INCHIKEY
DRUG_000112,drugbank,DB00262,HIGH_EXACT
DRUG_000112,twosides,CID000002578,HIGH_EXACT
DRUG_000113,drugbank,DB00263,unmapped
DRUG_000114,drugbank,DB00264,HIGH_EXACT
DRUG_000114,twosides,CID000004171,HIGH_EXACT
DRUG_000115,drugbank,DB00266,unmapped
DRUG_000116,drugbank,DB00267,unmapped
DRUG_000117,drugbank,DB00268,HIGH_EXACT
DRUG_000117,twosides,CID000005095,HIGH_EXACT
DRUG_000118,drugbank,DB00270,HIGH_EXACT
DRUG_000118,twosides,CID000003784,HIGH_EXACT
DRUG_000119,drugbank,DB00271,unmapped
DRUG_000120,drugbank,DB00273,MEDIUM_CANONICAL
DRUG_000120,twosides,CID000005514,MEDIUM_CANONICAL
DRUG_000121,drugbank,DB00274,unmapped
DRUG_000122,drugbank,DB00275,unmapped
DRUG_000123,drugbank,DB00276,unmapped
DRUG_000124,drugbank,DB00277,HIGH_EXACT
DRUG_000124,twosides,CID000002153,HIGH_EXACT
DRUG_000125,drugbank,DB00278,unmapped
DRUG_000126,drugbank,DB00279,MEDIUM_CANONICAL
DRUG_000126,twosides,CID000000861,MEDIUM_CANONICAL
DRUG_000127,drugbank,DB00280,HIGH_EXACT
DRUG_000127,twosides,CID000003114,HIGH_EXACT
DRUG_000128,drugbank,DB00281,HIGH_EXACT
DRUG_000128,twosides,CID000003676,HIGH_EXACT
DRUG_000129,drugbank,DB00282,HIGH_EXACT
DRUG_000129,twosides,CID000004674,HIGH_EXACT
DRUG_000130,drugbank,DB00283,unmapped
DRUG_000131,drugbank,DB00284,unmapped
DRUG_000132,drugbank,DB00285,HIGH_EXACT
DRUG_000132,twosides,CID000005656,HIGH_EXACT
DRUG_000133,drugbank,DB00287,MEDIUM_CANONICAL
DRUG_000133,twosides,CID005282226,MEDIUM_CANONICAL
DRUG_000134,drugbank,DB00288,unmapped
DRUG_000135,drugbank,DB00289,MEDIUM_CANONICAL
DRUG_000135,twosides,CID000054841,MEDIUM_CANONICAL
DRUG_000136,drugbank,DB00290,unmapped
DRUG_000137,drugbank,DB00291,HIGH_EXACT
DRUG_000137,twosides,CID000002708,HIGH_EXACT
DRUG_000138,drugbank,DB00292,MEDIUM_CANONICAL
DRUG_000138,twosides,CID000036339,MEDIUM_CANONICAL
DRUG_000139,drugbank,DB00293,unmapped
DRUG_000140,drugbank,DB00294,MEDIUM_CANONICAL
DRUG_000140,twosides,CID000040976,MEDIUM_CANONICAL
DRUG_000141,drugbank,DB00295,MEDIUM_CANONICAL
DRUG_000141,twosides,CID000004253,MEDIUM_CANONICAL
DRUG_000142,drugbank,DB00296,MEDIUM_CANONICAL
DRUG_000142,twosides,CID000071273,MEDIUM_CANONICAL
DRUG_000143,drugbank,DB00297,ambiguous
DRUG_000144,drugbank,DB01002,ambiguous
DRUG_000145,twosides,CID000002474,ambiguous
DRUG_000146,drugbank,DB00298,unmapped
DRUG_000147,drugbank,DB00300,MEDIUM_CANONICAL
DRUG_000147,twosides,CID005481350,MEDIUM_CANONICAL
DRUG_000148,drugbank,DB00301,unmapped
DRUG_000149,drugbank,DB00302,unmapped
DRUG_000150,drugbank,DB00303,MEDIUM_CANONICAL
DRUG_000150,twosides,CID000150610,MEDIUM_CANONICAL
DRUG_000151,drugbank,DB00304,unmapped
DRUG_000152,drugbank,DB00305,MEDIUM_CANONICAL
DRUG_000152,twosides,CID000005746,MEDIUM_CANONICAL
DRUG_000153,drugbank,DB00307,HIGH_EXACT
DRUG_000153,twosides,CID000082146,HIGH_EXACT
DRUG_000154,drugbank,DB00308,unmapped
DRUG_000155,drugbank,DB00309,unmapped
DRUG_000156,drugbank,DB00310,HIGH_EXACT
DRUG_000156,twosides,CID000002732,HIGH_EXACT
DRUG_000157,drugbank,DB00312,unmapped
DRUG_000158,drugbank,DB00313,HIGH_EXACT
DRUG_000158,twosides,CID000003121,HIGH_EXACT
DRUG_000159,drugbank,DB00314,unmapped
DRUG_000160,drugbank,DB00315,MEDIUM_CANONICAL
DRUG_000160,twosides,CID000005731,MEDIUM_CANONICAL
DRUG_000161,drugbank,DB00316,HIGH_EXACT
DRUG_000161,twosides,CID000001983,HIGH_EXACT
DRUG_000162,drugbank,DB00317,HIGH_EXACT
DRUG_000162,twosides,CID000123631,HIGH_EXACT
DRUG_000163,drugbank,DB00318,unmapped
DRUG_000164,drugbank,DB00319,unmapped
DRUG_000165,drugbank,DB00320,MEDIUM_CANONICAL
DRUG_000165,twosides,CID000003066,MEDIUM_CANONICAL
DRUG_000166,drugbank,DB00321,HIGH_EXACT
DRUG_000166,twosides,CID000002160,HIGH_EXACT
DRUG_000167,drugbank,DB00322,unmapped
DRUG_000168,drugbank,DB00323,HIGH_EXACT
DRUG_000168,twosides,CID004659569,HIGH_EXACT
DRUG_000169,drugbank,DB00324,MEDIUM_CANONICAL
DRUG_000169,twosides,CID000003384,MEDIUM_CANONICAL
DRUG_000170,drugbank,DB00325,unmapped
DRUG_000171,drugbank,DB00326,unmapped
DRUG_000172,drugbank,DB00327,MEDIUM_CANONICAL
DRUG_000172,twosides,CID000003648,MEDIUM_CANONICAL
DRUG_000173,drugbank,DB00328,HIGH_EXACT
DRUG_000173,twosides,CID000003715,HIGH_EXACT
DRUG_000174,drugbank,DB00330,MEDIUM_CANONICAL
DRUG_000174,twosides,CID000003279,MEDIUM_CANONICAL
DRUG_000175,drugbank,DB00331,HIGH_INCHIKEY
DRUG_000175,twosides,CID000004091,HIGH_INCHIKEY
DRUG_000176,drugbank,DB00332,MEDIUM_CANONICAL
DRUG_000176,twosides,CID000003746,MEDIUM_CANONICAL
DRUG_000177,drugbank,DB00333,HIGH_EXACT
DRUG_000177,twosides,CID000004095,HIGH_EXACT
DRUG_000178,drugbank,DB00334,unmapped
DRUG_000179,drugbank,DB00335,HIGH_EXACT
DRUG_000179,twosides,CID000002249,HIGH_EXACT
DRUG_000180,drugbank,DB00336,unmapped
DRUG_000181,drugbank,DB00337,MEDIUM_CANONICAL
DRUG_000181,twosides,CID006447131,MEDIUM_CANONICAL
DRUG_000182,drugbank,DB00338,HIGH_EXACT
DRUG_000182,twosides,CID000004594,HIGH_EXACT
DRUG_000183,drugbank,DB00339,HIGH_EXACT
DRUG_000183,twosides,CID000001046,HIGH_EXACT
DRUG_000184,drugbank,DB00340,unmapped
DRUG_000185,drugbank,DB00341,ambiguous
DRUG_000186,drugbank,DB06282,ambiguous
DRUG_000187,twosides,CID000002678,ambiguous
DRUG_000188,drugbank,DB00343,unmapped
DRUG_000189,drugbank,DB00344,unmapped
DRUG_000190,drugbank,DB00345,unmapped
DRUG_000191,drugbank,DB00346,HIGH_EXACT
DRUG_000191,twosides,CID000002092,HIGH_EXACT
DRUG_000192,drugbank,DB00347,unmapped
DRUG_000193,drugbank,DB00349,unmapped
DRUG_000194,drugbank,DB00350,unmapped
DRUG_000195,drugbank,DB00351,unmapped
DRUG_000196,drugbank,DB00352,unmapped
DRUG_000197,drugbank,DB00353,MEDIUM_CANONICAL
DRUG_000197,twosides,CID000004140,MEDIUM_CANONICAL
DRUG_000198,drugbank,DB00354,unmapped
DRUG_000199,drugbank,DB00355,unmapped
DRUG_000200,drugbank,DB00356,HIGH_EXACT
DRUG_000200,twosides,CID000002733,HIGH_EXACT
DRUG_000201,drugbank,DB00357,unmapped
DRUG_000202,drugbank,DB00358,HIGH_EXACT
DRUG_000202,twosides,CID000004046,HIGH_EXACT
DRUG_000203,drugbank,DB00359,HIGH_EXACT
DRUG_000203,twosides,CID000005215,HIGH_EXACT
DRUG_000204,drugbank,DB00360,unmapped
DRUG_000205,drugbank,DB00361,MEDIUM_CANONICAL
DRUG_000205,twosides,CID000005672,MEDIUM_CANONICAL
DRUG_000206,drugbank,DB00362,unmapped
DRUG_000207,drugbank,DB00363,unmapped
DRUG_000208,drugbank,DB00364,unmapped
DRUG_000209,drugbank,DB00366,unmapped
DRUG_000210,drugbank,DB00367,ambiguous
DRUG_000211,drugbank,DB09389,ambiguous
DRUG_000212,twosides,CID000004542,ambiguous
DRUG_000213,drugbank,DB00368,unmapped
DRUG_000214,drugbank,DB00369,unmapped
DRUG_000215,drugbank,DB00370,HIGH_EXACT
DRUG_000215,twosides,CID000004205,HIGH_EXACT
DRUG_000216,drugbank,DB00371,HIGH_EXACT
DRUG_000216,twosides,CID000004064,HIGH_EXACT
DRUG_000217,drugbank,DB00373,MEDIUM_CANONICAL
DRUG_000217,twosides,CID000005478,MEDIUM_CANONICAL
DRUG_000218,drugbank,DB00374,MEDIUM_CANONICAL
DRUG_000218,twosides,CID000054786,MEDIUM_CANONICAL
DRUG_000219,drugbank,DB00376,HIGH_EXACT
DRUG_000219,twosides,CID000005572,HIGH_EXACT
DRUG_000220,drugbank,DB00377,MEDIUM_CANONICAL
DRUG_000220,twosides,CID000148211,MEDIUM_CANONICAL
DRUG_000221,drugbank,DB00378,unmapped
DRUG_000222,drugbank,DB00379,HIGH_EXACT
DRUG_000222,twosides,CID000004178,HIGH_EXACT
DRUG_000223,drugbank,DB00380,unmapped
DRUG_000224,drugbank,DB00381,HIGH_EXACT
DRUG_000224,twosides,CID000002162,HIGH_EXACT
DRUG_000225,drugbank,DB00384,unmapped
DRUG_000226,drugbank,DB00385,unmapped
DRUG_000227,drugbank,DB00387,unmapped
DRUG_000228,drugbank,DB00388,unmapped
DRUG_000229,drugbank,DB00389,unmapped
DRUG_000230,drugbank,DB00390,MEDIUM_CANONICAL
DRUG_000230,twosides,CID000003062,MEDIUM_CANONICAL
DRUG_000231,drugbank,DB00391,unmapped
DRUG_000232,drugbank,DB00392,unmapped
DRUG_000233,drugbank,DB00393,HIGH_EXACT
DRUG_000233,twosides,CID000004497,HIGH_EXACT
DRUG_000234,drugbank,DB00394,unmapped
DRUG_000235,drugbank,DB00395,HIGH_EXACT
DRUG_000235,twosides,CID000002576,HIGH_EXACT
DRUG_000236,drugbank,DB00396,MEDIUM_CANONICAL
DRUG_000236,twosides,CID000004920,MEDIUM_CANONICAL
DRUG_000237,drugbank,DB00397,unmapped
DRUG_000238,drugbank,DB00398,HIGH_EXACT
DRUG_000238,twosides,CID000216239,HIGH_EXACT
DRUG_000239,drugbank,DB00399,HIGH_EXACT
DRUG_000239,twosides,CID000068740,HIGH_EXACT
DRUG_000240,drugbank,DB00400,unmapped
DRUG_000241,drugbank,DB00401,HIGH_EXACT
DRUG_000241,twosides,CID000004499,HIGH_EXACT
DRUG_000242,drugbank,DB00402,ambiguous
DRUG_000243,drugbank,DB01198,ambiguous
DRUG_000244,twosides,CID000005735,ambiguous
DRUG_000245,drugbank,DB00404,HIGH_EXACT
DRUG_000245,twosides,CID000002118,HIGH_EXACT
DRUG_000246,drugbank,DB00405,unmapped
DRUG_000247,drugbank,DB00408,HIGH_EXACT
DRUG_000247,twosides,CID000003964,HIGH_EXACT
DRUG_000248,drugbank,DB00409,unmapped
DRUG_000249,drugbank,DB00410,MEDIUM_CANONICAL
DRUG_000249,twosides,CID000004264,MEDIUM_CANONICAL
DRUG_000250,drugbank,DB00411,HIGH_EXACT
DRUG_000250,twosides,CID000002551,HIGH_EXACT
DRUG_000251,drugbank,DB00412,HIGH_EXACT
DRUG_000251,twosides,CID000077999,HIGH_EXACT
DRUG_000252,drugbank,DB00413,MEDIUM_CANONICAL
DRUG_000252,twosides,CID000004885,MEDIUM_CANONICAL
DRUG_000253,drugbank,DB00415,unmapped
DRUG_000254,drugbank,DB00417,unmapped
DRUG_000255,drugbank,DB00418,unmapped
DRUG_000256,drugbank,DB00419,MEDIUM_CANONICAL
DRUG_000256,twosides,CID000051634,MEDIUM_CANONICAL
DRUG_000257,drugbank,DB00420,unmapped
DRUG_000258,drugbank,DB00421,MEDIUM_CANONICAL
DRUG_000258,twosides,CID000005267,MEDIUM_CANONICAL
DRUG_000259,drugbank,DB00422,ambiguous
DRUG_000260,drugbank,DB06701,ambiguous
DRUG_000261,twosides,CID000004158,ambiguous
DRUG_000262,drugbank,DB00423,HIGH_EXACT
DRUG_000262,twosides,CID000004107,HIGH_EXACT
DRUG_000263,drugbank,DB00424,ambiguous
DRUG_000264,drugbank,DB00572,ambiguous
DRUG_000265,twosides,CID000003661,ambiguous
DRUG_000266,drugbank,DB00425,HIGH_EXACT
DRUG_000266,twosides,CID000005732,HIGH_EXACT
DRUG_000267,drugbank,DB00426,HIGH_EXACT
DRUG_000267,twosides,CID000003324,HIGH_EXACT
DRUG_000268,drugbank,DB00427,unmapped
DRUG_000269,drugbank,DB00428,unmapped
DRUG_000270,drugbank,DB00429,unmapped
DRUG_000271,drugbank,DB00430,unmapped
DRUG_000272,drugbank,DB00432,unmapped
DRUG_000273,drugbank,DB00433,HIGH_EXACT
DRUG_000273,twosides,CID000004917,HIGH_EXACT
DRUG_000274,drugbank,DB00434,unmapped
DRUG_000275,drugbank,DB00435,HIGH_EXACT
DRUG_000275,twosides,CID000145068,HIGH_EXACT
DRUG_000276,drugbank,DB00436,unmapped
DRUG_000277,drugbank,DB00437,unmapped
DRUG_000278,drugbank,DB00438,MEDIUM_CANONICAL
DRUG_000278,twosides,CID000002650,MEDIUM_CANONICAL
DRUG_000279,drugbank,DB00440,HIGH_EXACT
DRUG_000279,twosides,CID000005578,HIGH_EXACT
DRUG_000280,drugbank,DB00441,MEDIUM_CANONICAL
DRUG_000280,twosides,CID000003461,MEDIUM_CANONICAL
DRUG_000281,drugbank,DB00442,MEDIUM_CANONICAL
DRUG_000281,twosides,CID000153941,MEDIUM_CANONICAL
DRUG_000282,drugbank,DB00443,ambiguous
DRUG_000283,drugbank,DB01234,ambiguous
DRUG_000284,twosides,CID000003003,ambiguous
DRUG_000285,drugbank,DB00444,unmapped
DRUG_000286,drugbank,DB00445,unmapped
DRUG_000287,drugbank,DB00446,MEDIUM_CANONICAL
DRUG_000287,twosides,CID000000298,MEDIUM_CANONICAL
DRUG_000288,drugbank,DB00448,ambiguous
DRUG_000289,drugbank,DB05351,ambiguous
DRUG_000290,twosides,CID000003883,ambiguous
DRUG_000291,drugbank,DB00449,unmapped
DRUG_000292,drugbank,DB00450,HIGH_EXACT
DRUG_000292,twosides,CID000003168,HIGH_EXACT
DRUG_000293,drugbank,DB00451,MEDIUM_CANONICAL
DRUG_000293,twosides,CID000000853,MEDIUM_CANONICAL
DRUG_000294,drugbank,DB00452,unmapped
DRUG_000295,drugbank,DB00453,unmapped
DRUG_000296,drugbank,DB00454,HIGH_EXACT
DRUG_000296,twosides,CID000004058,HIGH_EXACT
DRUG_000297,drugbank,DB00455,HIGH_EXACT
DRUG_000297,twosides,CID000003957,HIGH_EXACT
DRUG_000298,drugbank,DB00456,unmapped
DRUG_000299,drugbank,DB00457,HIGH_EXACT
DRUG_000299,twosides,CID000004893,HIGH_EXACT
DRUG_000300,drugbank,DB00458,HIGH_EXACT
DRUG_000300,twosides,CID000003696,HIGH_EXACT
DRUG_000301,drugbank,DB00459,MEDIUM_CANONICAL
DRUG_000301,twosides,CID000041317,MEDIUM_CANONICAL
DRUG_000302,drugbank,DB00460,MEDIUM_CANONICAL
DRUG_000302,twosides,CID005362420,MEDIUM_CANONICAL
DRUG_000303,drugbank,DB00461,HIGH_EXACT
DRUG_000303,twosides,CID000004409,HIGH_EXACT
DRUG_000304,drugbank,DB00462,unmapped
DRUG_000305,drugbank,DB00465,HIGH_EXACT
DRUG_000305,twosides,CID000003826,HIGH_EXACT
DRUG_000306,drugbank,DB00467,unmapped
DRUG_000307,drugbank,DB00468,ambiguous
DRUG_000308,drugbank,DB00908,ambiguous
DRUG_000309,twosides,CID000001065,ambiguous
DRUG_000310,drugbank,DB00469,unmapped
DRUG_000311,drugbank,DB00470,MEDIUM_CANONICAL
DRUG_000311,twosides,CID000002978,MEDIUM_CANONICAL
DRUG_000312,drugbank,DB00471,unmapped
DRUG_000313,drugbank,DB00472,HIGH_EXACT
DRUG_000313,twosides,CID000003386,HIGH_EXACT
DRUG_000314,drugbank,DB00474,unmapped
DRUG_000315,drugbank,DB00475,unmapped
DRUG_000316,drugbank,DB00476,MEDIUM_CANONICAL
DRUG_000316,twosides,CID000060835,MEDIUM_CANONICAL
DRUG_000317,drugbank,DB00477,HIGH_EXACT
DRUG_000317,twosides,CID000002726,HIGH_EXACT
DRUG_000318,drugbank,DB00479,MEDIUM_CANONICAL
DRUG_000318,twosides,CID000002142,MEDIUM_CANONICAL
DRUG_000319,drugbank,DB00480,HIGH_EXACT
DRUG_000319,twosides,CID000216326,HIGH_EXACT
DRUG_000320,drugbank,DB00481,HIGH_EXACT
DRUG_000320,twosides,CID000005035,HIGH_EXACT
DRUG_000321,drugbank,DB00482,HIGH_EXACT
DRUG_000321,twosides,CID000002662,HIGH_EXACT
DRUG_000322,drugbank,DB00483,unmapped
DRUG_000323,drugbank,DB00484,HIGH_EXACT
DRUG_000323,twosides,CID000002435,HIGH_EXACT
DRUG_000324,drugbank,DB00485,unmapped
DRUG_000325,drugbank,DB00486,MEDIUM_CANONICAL
DRUG_000325,twosides,CID000039860,MEDIUM_CANONICAL
DRUG_000326,drugbank,DB00487,unmapped
DRUG_000327,drugbank,DB00488,unmapped
DRUG_000328,drugbank,DB00489,HIGH_EXACT
DRUG_000328,twosides,CID000005253,HIGH_EXACT
DRUG_000329,drugbank,DB00490,HIGH_EXACT
DRUG_000329,twosides,CID000002477,HIGH_EXACT
DRUG_000330,drugbank,DB00491,unmapped
DRUG_000331,drugbank,DB00492,unmapped
DRUG_000332,drugbank,DB00493,unmapped
DRUG_000333,drugbank,DB00494,MEDIUM_CANONICAL
DRUG_000333,twosides,CID004659568,MEDIUM_CANONICAL
DRUG_000334,drugbank,DB00495,MEDIUM_CANONICAL
DRUG_000334,twosides,CID000005726,MEDIUM_CANONICAL
DRUG_000335,drugbank,DB00496,MEDIUM_CANONICAL
DRUG_000335,twosides,CID000072054,MEDIUM_CANONICAL
DRUG_000336,drugbank,DB00497,MEDIUM_CANONICAL
DRUG_000336,twosides,CID000004635,MEDIUM_CANONICAL
DRUG_000337,drugbank,DB00498,unmapped
DRUG_000338,drugbank,DB00499,HIGH_EXACT
DRUG_000338,twosides,CID000003397,HIGH_EXACT
DRUG_000339,drugbank,DB00500,unmapped
DRUG_000340,drugbank,DB00501,HIGH_INCHIKEY
DRUG_000340,twosides,CID000002756,HIGH_INCHIKEY
DRUG_000341,drugbank,DB00502,HIGH_EXACT
DRUG_000341,twosides,CID000003559,HIGH_EXACT
DRUG_000342,drugbank,DB00503,MEDIUM_CANONICAL
DRUG_000342,twosides,CID000005076,MEDIUM_CANONICAL
DRUG_000343,drugbank,DB00504,unmapped
DRUG_000344,drugbank,DB00508,unmapped
DRUG_000345,drugbank,DB00511,unmapped
