side_effect_id,side_effect_name,source_dataset
1043,sensory disturbance,twosides
1042,polyneuropathy,twosides
1219,Nephrolithiasis,twosides
253,dysarthria,twosides
465,Hypotension Orthostatic,twosides
788,Scoliosis,twosides
1161,autonomic instability,twosides
769,rhabdomyolysis,twosides
1052,renal colic,twosides
507,bundle branch block left,twosides
831,apoplexy,twosides
542,malabsorption,twosides
54,aphasia,twosides
32,Amnesia,twosides
321,body temperature increased,twosides
958,burning sensation,twosides
950,chill,twosides
683,phaeochromocytoma,twosides
895,Infection Urinary Tract,twosides
618,night sweat,twosides
491,keratitis sicca,twosides
216,dehydration,twosides
78,Ataxia,twosides
144,transient ischaemic attack,twosides
142,cerebral haemorrhage,twosides
232,Mod,twosides
430,elevated cholesterol,twosides
840,heart rate increased,twosides
1186,eye swelling,twosides
731,psychosexual disorder,twosides
50,Anxiety,twosides
312,facial palsy,twosides
269,fat embolism,twosides
891,ureteral obstruction,twosides
494,disorder Renal,twosides
605,nephrosclerosis,twosides
23,delirium tremens,twosides
69,psoriatic arthritis,twosides
829,post traumatic stress disorder,twosides
506,laryngitis,twosides
905,angiopathy,twosides
476,flu,twosides
138,coeliac disease,twosides
16,adjustment disorder,twosides
543,carcinoid syndrome,twosides
600,nausea,twosides
1284,dysphasia,twosides
1049,drug withdrawal,twosides
688,Pleural Effusion,twosides
802,Sinusitis,twosides
426,Bilirubinaemia,twosides
1237,amentia,twosides
1133,cerebral atrophy,twosides
148,cervicalgia,twosides
436,hyperlipaemia,twosides
108,metabolic encephalopathy,twosides
234,Diabetic Nephropathy,twosides
271,encephalitis,twosides
1146,Intervertebral Disc Herniation,twosides
80,Atherosclerosis,twosides
52,aortic regurgitation,twosides
608,Neuralgia,twosides
388,hemiplegia,twosides
1240,pneumonia Klebsiella,twosides
737,emphysema,twosides
81,AFIB,twosides
711,Postherpetic Neuralgia,twosides
283,Eosinophil Count Increased,twosides
609,Neuritis,twosides
1244,abnormal ECG,twosides
336,Bone Fracture Spontaneous,twosides
348,gingivitis,twosides
1003,soft tissue infection,twosides
329,floaters,twosides
856,thyroid neoplasia,twosides
1239,dental abscess,twosides
871,dental pain,twosides
1242,aseptic necrosis bone,twosides
117,bruxism,twosides
764,retinal bleeding,twosides
1140,gingival pain,twosides
632,bone inflammation,twosides
126,candidiasis of mouth,twosides
869,tooth disease,twosides
1112,mouth pain,twosides
487,arthropathy,twosides
672,pericardial effusion,twosides
1147,lung neoplasm malignant,twosides
472,infection,twosides
1231,blindness,twosides
409,herpes simplex,twosides
386,blood in urine,twosides
511,Acute myeloblastic leukemia,twosides
1018,abnormal EEG,twosides
342,gastric inflammation,twosides
1192,Transfusion reaction,twosides
3,abortion spontaneous,twosides
1006,urosepsis,twosides
262,eating disorder,twosides
784,schizophrenia,twosides
374,cardiac murmur,twosides
371,cardiac enlargement,twosides
724,proteinuria,twosides
1275,increased platelet count,twosides
1103,odynophagia,twosides
573,multiple sclerosis,twosides
901,intraocular inflammation,twosides
929,weight gain,twosides
289,Convulsions Grand Mal,twosides
282,Enuresis,twosides
956,bundle branch block right,twosides
680,Personality disorder,twosides
798,salivary gland inflammation,twosides
1210,pregnancy induced hypertension,twosides
149,cervicitis,twosides
405,hernia hiatal,twosides
150,cervical dysplasia,twosides
533,adenitis,twosides
263,ecchymoses,twosides
1262,tardive dyskinesia,twosides
102,blood pressure abnormal,twosides
940,muscle strain,twosides
900,uterine infection,twosides
717,Ejaculation Premature,twosides
951,excessive thirst,twosides
261,ear ache,twosides
1020,elevated erythrocyte sedimentation rate,twosides
427,Blood Calcium Increased,twosides
1077,joint stiffness,twosides
1218,phobia,twosides
301,esophagitis,twosides
606,nephrotic syndrome,twosides
750,proctalgia,twosides
1031,bone pain,twosides
190,contracture,twosides
720,proctitis,twosides
817,spondylitis,twosides
819,spondylosis,twosides
1302,dyspareunia,twosides
439,hyperparathyroidism,twosides
806,sleep apnea,twosides
748,Raynauds phenomenon,twosides
1158,wound dehiscence,twosides
1060,portal vein thrombosis,twosides
366,head injury,twosides
60,Arachnoiditis,twosides
838,synovitis,twosides
434,hyperhidrosis,twosides
622,nystagmus,twosides
345,gastrointestinal bleed,twosides
59,apraxia,twosides
1120,Rectal Tenesmus,twosides
34,amyloidosis,twosides
1309,Drug addiction,twosides
723,prostatitis,twosides
320,femoral neck fracture,twosides
809,sleep walking,twosides
1285,monoclonal gammopathy,twosides
191,bruise,twosides
168,Scar,twosides
370,cardiac disease,twosides
667,pain pelvic,twosides
413,hip fracture,twosides
1205,difficulty in walking,twosides
654,panic disorder,twosides
375,atrial septal defect,twosides
845,Tendinitis,twosides
1092,obstructive uropathy,twosides
902,Colpitis,twosides
1106,Rhagades,twosides
1304,bone spur,twosides
652,pancreatitis,twosides
27,allergic rhinitis,twosides
643,otitis media,twosides
339,intestinal functional disorder,twosides
317,faecal incontinence,twosides
135,carpal tunnel,twosides
382,haematochezia,twosides
471,ADH inappropriate,twosides
1230,neuropathy,twosides
996,Chest infection,twosides
1268,radiculopathy,twosides
1312,dysphonia,twosides
811,myelopathy,twosides
553,black stools,twosides
260,dysuria,twosides
960,flashing lights,twosides
1214,Electrolyte disorder,twosides
1303,Decreased hearing,twosides
566,mitral valve prolapse,twosides
316,fatty liver,twosides
629,mouth bleeding,twosides
92,bipolar disorder,twosides
268,embolism,twosides
251,duodenitis,twosides
550,malignant melanoma,twosides
1263,ear infection,twosides
954,sinus bradycardia,twosides
716,atrial ectopic beats,twosides
642,external ear infection,twosides
592,muscle inflammation,twosides
1163,cervical vertebral fracture,twosides
425,hydronephrosis,twosides
218,dental caries,twosides
1089,elevated prostate specific antigen,twosides
1001,mouth ulcer,twosides
670,gastroduodenal ulcer,twosides
326,fistula,twosides
984,acute bronchitis,twosides
361,gynaecomastia,twosides
973,Hypophosphataemia,twosides
435,Excess potassium,twosides
1036,esophageal ulcer,twosides
10,renal tubular acidosis,twosides
910,phlebothrombosis,twosides
1220,dysaesthesia,twosides
357,goiter,twosides
1102,metabolic alkalosis,twosides
1235,Adenopathy,twosides
1098,tympanic membrane perforation,twosides
61,Arrhythmia,twosides
952,Hepatic failure,twosides
440,hyperalimentation,twosides
939,Spinal fracture,twosides
1148,Parkinson,twosides
571,movement disorder,twosides
541,macula lutea degeneration,twosides
578,musculoskeletal pain,twosides
730,psychosomatic disease,twosides
1026,Cardiac ischemia,twosides
1305,paranoia,twosides
761,retinal degeneration,twosides
985,chronic sinusitis,twosides
883,ulcer,twosides
775,rib fracture,twosides
1173,rotator cuff syndrome,twosides
470,impetigo,twosides
988,fractured pelvis NOS,twosides
889,Infection Upper Respiratory,twosides
44,angioedema,twosides
800,sick sinus syndrome,twosides
449,hyperthyroidism,twosides
372,cardiac failure,twosides
1175,atrioventricular block second degree,twosides
682,pharyngeal inflammation,twosides
15,adenoma,twosides
288,epilepsy,twosides
1091,sinus arrest,twosides
42,angina,twosides
577,muscle disorder,twosides
119,bundle branch block,twosides
912,tachycardia ventricular,twosides
616,melanocytic naevus,twosides
575,cramp,twosides
82,atrial flutter,twosides
795,cardiovascular collapse,twosides
437,hypernatraemia,twosides
897,hive,twosides
586,MPD,twosides
908,syncope vasovagal,twosides
828,streptococcal infection,twosides
73,aspergillosis,twosides
961,Light sensitivity,twosides
279,enteritis,twosides
103,bone marrow transplant,twosides
1009,SCLC,twosides
176,colitis,twosides
451,elevated triglycerides,twosides
1190,Glucose intolerance,twosides
572,Multiple Myeloma,twosides
1035,duodenal ulcer haemorrhage,twosides
210,CMV infection,twosides
387,hemiparesis,twosides
966,polymyositis,twosides
86,Bacteraemia,twosides
864,onychomycosis,twosides
1264,carcinoma of the colon,twosides
1048,traumatic arthropathy,twosides
588,myocarditis,twosides
377,cardiac valvulopathy,twosides
273,endocarditis,twosides
1017,Atrioventricular block complete,twosides
911,ventricular fibrillation,twosides
341,gangrene,twosides
484,ischaemia,twosides
885,ADVERSE DRUG EFFECT,twosides
1225,defaecation urgency,twosides
520,cirrhosis,twosides
880,trigeminal neuralgia,twosides
419,hordeolum,twosides
707,polyuria,twosides
675,periodontal disease,twosides
623,obesity,twosides
356,glucosuria,twosides
131,basal cell carcinoma,twosides
1076,pulmonary arrest,twosides
381,haematemesis,twosides
360,granuloma,twosides
555,meningeal irritation,twosides
780,Salmonella,twosides
231,insulin dependent diabetes mellitus,twosides
313,failure to thrive,twosides
132,Cardiac tamponade,twosides
1073,ankle fracture,twosides
399,hepatitis toxic,twosides
275,endocrine disorder,twosides
801,Sinus headache,twosides
1013,renal abscess,twosides
242,diverticulitis,twosides
221,dermatitis exfoliative,twosides
823,gastric dilatation,twosides
93,distended bladder,twosides
987,pancreatitis relapsing,twosides
854,Thrombophlebitis,twosides
1129,nasal septal perforation,twosides
797,shoulder pain,twosides
1229,Abnormal Laboratory Findings,twosides
700,Polio,twosides
1271,duodenal ulcer perforation,twosides
1287,joint effusion,twosides
376,ventricular septal defect,twosides
67,gouty arthritis,twosides
842,Supraventricular tachycardia,twosides
26,respiratory alkalosis,twosides
1022,haemorrhage intracranial,twosides
1294,major depression,twosides
1282,excessive sleepiness,twosides
538,lymphoma,twosides
1272,substance abuse,twosides
45,animal bite,twosides
146,cerebral vascular disorder,twosides
1206,dry eye,twosides
646,Ovarian Cyst,twosides
953,micturition urgency,twosides
894,Stress incontinence,twosides
1047,hesitancy,twosides
335,bone fracture,twosides
620,nodule,twosides
209,cyst,twosides
1088,Abdominal hernia,twosides
787,Scleroderma,twosides
739,Cor pulmonale,twosides
799,excessive salivation,twosides
1127,right heart failure,twosides
832,subarachnoid haemorrhage,twosides
123,cancer,twosides
808,soft tissue injuries,twosides
1288,colitis pseudomembranous,twosides
560,heavy menstrual period,twosides
559,premature menopause,twosides
407,umbilical hernia,twosides
728,psoriasis,twosides
224,contact dermatitis,twosides
97,blepharoptosis,twosides
347,Bleeding gums,twosides
284,epicondylitis,twosides
595,ingrowing nail,twosides
790,dermatitis seborrheic,twosides
127,candidiasis of vagina,twosides
1165,Spinal Compression Fracture,twosides
1245,palsies,twosides
291,petit mal,twosides
359,gout,twosides
1281,cerebral ischaemia,twosides
310,eyelid diseases,twosides
824,gastric ulcer,twosides
676,periodontitis,twosides
285,Lyell,twosides
493,seborrhoeic keratosis,twosides
492,actinic keratosis,twosides
157,choking,twosides
708,dyshidrosis,twosides
53,aortic stenosis,twosides
390,coughing blood,twosides
1097,radiation pneumonitis,twosides
355,Glossitis,twosides
88,bacterial pneumonia,twosides
22,alcohol consumption,twosides
1251,squamous cell carcinoma of skin,twosides
1134,pancreatic cancer,twosides
847,Tenosynovitis,twosides
519,liver abscess,twosides
584,myelodysplasia,twosides
751,rectal polyp,twosides
107,brain concussion,twosides
805,cutaneous ulcer,twosides
1122,menometrorrhagia,twosides
311,face pain,twosides
83,atrioventricular block,twosides
452,breast enlargement,twosides
1189,Eustachian tube disorder,twosides
540,macroglossia,twosides
1137,flashbacks,twosides
983,acute sinusitis,twosides
1142,Pelvic Inflammatory Disease,twosides
1195,Altered Bowel Function,twosides
1015,antinuclear antibody positive,twosides
1128,galactorrhea,twosides
783,schizoaffective disorder,twosides
105,borderline personality disorder,twosides
601,injury of neck,twosides
792,Pharyngitis Streptococcal,twosides
1075,Nephrogenic diabetes insipidus,twosides
1030,hepatic necrosis,twosides
446,portal hypertension,twosides
235,Diabetic neuropathy,twosides
109,brain neoplasm,twosides
302,reflux esophagitis,twosides
564,Breakthrough bleeding,twosides
362,hair disease,twosides
1171,Seroma,twosides
1070,trigger finger,twosides
603,Interstitial nephritis,twosides
594,Nail disorder,twosides
1011,allergic vasculitis,twosides
517,lichen planus,twosides
490,keratoacanthomas,twosides
1217,milia,twosides
134,carotid artery stenosis,twosides
1135,gastric polyps,twosides
1279,hyperkeratosis,twosides
1259,toxic shock,twosides
228,dermoid cyst,twosides
947,essential hypertension,twosides
397,hepatitis B,twosides
851,tetralogy of Fallot,twosides
1041,congenital heart disease,twosides
994,hepatitis B surface antigen positive,twosides
179,colon neoplasm,twosides
161,cholecystectomies,twosides
1258,Carcinoma of Prostate,twosides
957,orthopnea,twosides
1170,renal mass,twosides
111,Breast disorder,twosides
531,disseminated lupus erythematosus,twosides
967,Onycholysis,twosides
1162,breast tenderness,twosides
567,mixed connective tissue disease,twosides
1000,breast discharge,twosides
943,Disorder Peripheral Vascular,twosides
1099,limb malformation,twosides
441,Hyperprolactinaemia,twosides
1292,meningocele,twosides
1196,acute psychosis,twosides
1101,ketoacidosis,twosides
782,sarcoidosis,twosides
762,Detached retina,twosides
1314,eosinophilic pneumonia,twosides
155,Chest wall pain,twosides
1191,tonsillar hypertrophy,twosides
8,acanthosis nigricans,twosides
1086,hyperpigmentation,twosides
859,costochondritis,twosides
19,agoraphobia,twosides
1108,cheilosis,twosides
1223,Easy bruisability,twosides
628,OPTIC NEURITIS,twosides
309,eye injury,twosides
789,scotoma,twosides
266,eczema,twosides
876,tracheostomy,twosides
998,Muscle Rupture,twosides
641,bone sarcoma,twosides
610,neuroblastoma,twosides
548,mediastinal tumor,twosides
295,erysipelas,twosides
1104,paraparesis,twosides
1144,color blindness,twosides
402,hepatorenal syndrome,twosides
400,Hepatitis C,twosides
308,eye infection,twosides
990,EBV infection,twosides
151,Caesarean Section,twosides
20,agranulocytoses,twosides
681,petechia,twosides
385,hematoma subdural,twosides
351,glioma,twosides
964,pyoderma gangrenosum,twosides
727,benign intracranial hypertension,twosides
141,cerebral artery embolism,twosides
423,hydrocephalus,twosides
978,hypogammaglobulinaemia,twosides
1269,Acne,twosides
445,malignant hypertension,twosides
1188,acute otitis media,twosides
713,Post nasal drip,twosides
502,labyrinthitis,twosides
804,Nodule Skin,twosides
1016,atrophy of skin,twosides
999,neck mass,twosides
874,tracheitis,twosides
1213,adenomyosis,twosides
772,rheumatic heart disease,twosides
920,Vitamin D Deficiency,twosides
1253,kidney pain,twosides
1270,hyperuricaemia,twosides
813,splenectomy,twosides
580,atypical mycobacterial infection,twosides
664,parotitis,twosides
948,choreoathetosis,twosides
763,Disorder Retinal,twosides
673,pericarditis,twosides
469,cerumen impaction,twosides
921,vitiligo,twosides
663,paronychia,twosides
181,colostomy,twosides
870,Tooth Impacted,twosides
855,thyroid disease,twosides
51,aortic aneurysm,twosides
226,dermatomyositis,twosides
432,hyperaesthesia,twosides
35,als,twosides
145,cerebral palsy,twosides
969,spider angioma,twosides
114,bronchiectasis,twosides
1019,encephalopathy hypertensive,twosides
1187,retinal scar,twosides
753,aplasia pure red cell,twosides
40,anaemia hypochromic,twosides
1145,furuncle,twosides
677,periostitis,twosides
2,birth defect,twosides
140,cerebellar ataxia,twosides
1156,autonomic neuropathy,twosides
195,corneal disorder,twosides
704,polymyalgia rheumatica,twosides
404,diaphragmatic hernia,twosides
536,lymphedema,twosides
200,coronary artery bypass graft,twosides
1174,pleural fibrosis,twosides
844,temporal arteritis,twosides
1080,polyarthritis,twosides
684,phimosis,twosides
503,Lacrimal Disorder,twosides
1179,fecal occult blood,twosides
986,cholecystitis acute,twosides
475,inflammatory bowel disease,twosides
846,tendon injury,twosides
43,Prinzmetal variant angina,twosides
412,hiccough,twosides
793,serum sickness,twosides
11,acquired immune deficiency syndrome,twosides
38,Anemia aplastic,twosides
106,brain abscess,twosides
962,synovial cyst,twosides
715,ectopic pregnancies,twosides
657,Papilloma,twosides
695,pneumonia primary atypical,twosides
1050,retinopathy hypertensive,twosides
645,Ovarian cancer,twosides
1038,lung adenocarcinoma,twosides
1265,Gastric Cancer,twosides
860,tinea,twosides
904,varicose vein,twosides
686,pilonidal cyst,twosides
205,cystic acne,twosides
826,aphthous stomatitis,twosides
862,body tinea,twosides
705,familial adenomatous polyposis,twosides
1037,intestinal ulcer,twosides
225,Cutaneous mycosis,twosides
173,coccidioidomycosis,twosides
421,humerus fracture,twosides
925,volvulus,twosides
613,Neuromuscular Disorder,twosides
1114,vaginal discharge,twosides
1278,Pneumocystis carinii infection,twosides
488,Keloid scar,twosides
159,primary biliary cirrhosis,twosides
995,left ventricular hypertrophy,twosides
991,colon polypectomy,twosides
48,anosmia,twosides
850,tetany,twosides
1234,abnormal cervical smear,twosides
379,haemangioma,twosides
1183,incisional hernia,twosides
1160,abnormal mammogram,twosides
71,Arthritis bacterial,twosides
814,Splenic infarction,twosides
406,Hernia Inguinal,twosides
554,meningioma,twosides
696,Pneumocystis carinii pneumonia,twosides
1274,phlebitis superficial,twosides
1166,gallbladder polyp,twosides
1061,peritoneal adhesions,twosides
1308,hypovitaminosis,twosides
394,hepatic encephalopathy,twosides
259,Dyspnoea paroxysmal nocturnal,twosides
133,carotid bruit,twosides
918,vitamin B 12 deficiency,twosides
424,normal pressure hydrocephalus,twosides
659,paraplegia,twosides
196,Corneal dystrophy,twosides
557,Aseptic meningitis,twosides
24,Alcoholic intoxication,twosides
137,causalgia,twosides
1045,Irritation Skin,twosides
937,Bradyarrhythmia,twosides
192,conversion disorder,twosides
1185,epidural abscess,twosides
974,cholecystitis chronic,twosides
1201,swollen scrotum,twosides
365,hay fever,twosides
579,myasthenia gravis,twosides
898,fibroids,twosides
835,superior vena cava syndrome,twosides
547,mediastinal disorder,twosides
1266,bladder cancer,twosides
746,quadriplegia,twosides
21,albuminuria,twosides
112,Breast swelling,twosides
722,neoplasm prostate,twosides
734,alveolar proteinosis,twosides
585,Bone marrow fibrosis,twosides
415,histoplasmosis,twosides
843,telangiectases,twosides
771,Rheumatic fever,twosides
611,neurodermatitis,twosides
1090,fibroadenoma of breast,twosides
1289,ganglion,twosides
333,food allergy,twosides
892,urethritis,twosides
1051,ovulation pain,twosides
945,bacterial vaginitis,twosides
414,hirsuitism,twosides
1311,Sjogrens syndrome,twosides
922,vitreous detachment,twosides
923,Vitreous haemorrhage,twosides
909,venous insufficiency,twosides
1029,nasal septum disorder,twosides
1204,carcinoma of the cervix,twosides
1208,Burns Second Degree,twosides
729,tension headache,twosides
1168,night cramps,twosides
1249,pigmentation disorder,twosides
489,keratitis,twosides
499,kidney transplant,twosides
229,diabetes insipidus,twosides
337,fracture nonunion,twosides
128,carbuncle,twosides
332,folliculitis,twosides
486,jaundice neonatal,twosides
270,empyema,twosides
169,cleft lip,twosides
1212,Gastric ulcer perforated,twosides
101,platelet disorder,twosides
1062,gallbladder perforation,twosides
1297,Rhinitis Seasonal,twosides
29,allergic alveolitis,twosides
125,cutaneous candidiasis,twosides
177,chronic ulcerative colitis,twosides
558,Meningitis Viral,twosides
1094,Anal fistula,twosides
1039,esophageal cancer,twosides
1250,JRA,twosides
422,hydrocele,twosides
482,iritis,twosides
152,chalazion,twosides
62,arterial insufficiency,twosides
95,neurogenic bladder,twosides
598,nasal polyp,twosides
899,uterine bleeding,twosides
1066,Uterine polyp,twosides
1199,musculoskeletal deformity,twosides
1071,vascular anomaly,twosides
868,tonsillitis,twosides
749,hyperacusia,twosides
280,enterocolitis,twosides
1224,motor retardation,twosides
202,cryptococcosis,twosides
822,Fatty stools,twosides
719,priapism,twosides
933,Whiplash Injury,twosides
1138,epidural hematoma,twosides
760,Retinal artery occlusion,twosides
612,neuroma,twosides
398,chronic hepatitis,twosides
992,food intolerance,twosides
171,cluster headache,twosides
582,mycosis fungoides,twosides
188,connective tissue disease,twosides
968,macrocytosis,twosides
858,thyroiditis,twosides
