internal_drug_id,source_dataset,source_drug_id,rxcui,mapping_status
DRUG_000034,twosides,CID000002284,1292,HIGH_EXACT
DRUG_000035,drugbank,DB00182,3288,HIGH_EXACT
DRUG_000036,drugbank,DB01576,3288,HIGH_EXACT
DRUG_000037,twosides,CID000003007,725,HIGH_EXACT
DRUG_000038,drugbank,DB00184,31765,HIGH_EXACT
DRUG_000038,twosides,CID000000942,,UNRESOLVED
DRUG_000039,drugbank,DB00185,44281,HIGH_EXACT
DRUG_000040,drugbank,DB00186,6470,HIGH_EXACT
DRUG_000040,twosides,CID000003958,6470,HIGH_EXACT
DRUG_000041,drugbank,DB00187,49737,HIGH_EXACT
DRUG_000042,drugbank,DB00188,358258,HIGH_EXACT
DRUG_000042,twosides,CID000093860,358258,HIGH_EXACT
DRUG_000043,drugbank,DB00189,4118,HIGH_EXACT
DRUG_000044,drugbank,DB00190,1545982,HIGH_EXACT
DRUG_000045,drugbank,DB00191,221138,HIGH_EXACT
DRUG_000045,twosides,CID000004771,8152,HIGH_EXACT
DRUG_000046,drugbank,DB00193,10689,HIGH_EXACT
DRUG_000046,twosides,CID000005523,10689,HIGH_EXACT
DRUG_000047,drugbank,DB00195,1520,HIGH_EXACT
DRUG_000047,twosides,CID000002369,1520,HIGH_EXACT
DRUG_000048,drugbank,DB00196,202813,HIGH_EXACT
DRUG_000048,twosides,CID000003365,4450,HIGH_EXACT
DRUG_000049,drugbank,DB00198,260101,HIGH_EXACT
DRUG_000049,twosides,CID000004603,260101,HIGH_EXACT
DRUG_000050,drugbank,DB00199,4053,HIGH_EXACT
DRUG_000050,twosides,CID000003255,4053,HIGH_EXACT
DRUG_000051,drugbank,DB00201,1886,HIGH_EXACT
DRUG_000051,twosides,CID000002519,1886,HIGH_EXACT
DRUG_000052,drugbank,DB00202,10154,HIGH_EXACT
DRUG_000053,drugbank,DB00203,136411,HIGH_EXACT
DRUG_000053,twosides,CID000005212,136411,HIGH_EXACT
DRUG_000054,drugbank,DB00204,49247,HIGH_EXACT
DRUG_000054,twosides,CID000071329,49247,HIGH_EXACT
DRUG_000055,drugbank,DB00205,9010,HIGH_EXACT
DRUG_000055,twosides,CID000004993,9010,HIGH_EXACT
DRUG_000056,drugbank,DB00206,9260,HIGH_EXACT
DRUG_000056,twosides,CID000005052,9260,HIGH_EXACT
DRUG_000057,drugbank,DB00207,18631,HIGH_EXACT
DRUG_000057,twosides,CID000002269,18631,HIGH_EXACT
DRUG_000058,drugbank,DB00208,10594,HIGH_EXACT
DRUG_000058,twosides,CID000005472,10594,HIGH_EXACT
DRUG_000059,drugbank,DB00209,236778,HIGH_EXACT
DRUG_000059,twosides,CID000005596,236778,HIGH_EXACT
DRUG_000060,drugbank,DB00210,60223,HIGH_EXACT
DRUG_000060,twosides,CID000060164,60223,HIGH_EXACT
DRUG_000061,drugbank,DB00211,6963,HIGH_EXACT
DRUG_000061,twosides,CID000004195,6963,HIGH_EXACT
DRUG_000062,drugbank,DB00212,,UNRESOLVED
DRUG_000063,drugbank,DB00213,40790,HIGH_EXACT
DRUG_000063,twosides,CID000004679,40790,HIGH_EXACT
DRUG_000064,drugbank,DB00214,38413,HIGH_EXACT
DRUG_000064,twosides,CID000041781,38413,HIGH_EXACT
DRUG_000065,drugbank,DB00215,2556,HIGH_EXACT
DRUG_000066,drugbank,DB01175,321988,HIGH_EXACT
DRUG_000067,twosides,CID000002771,2556,HIGH_EXACT
DRUG_000068,drugbank,DB00216,231049,HIGH_EXACT
DRUG_000068,twosides,CID000077993,231049,HIGH_EXACT
DRUG_000069,drugbank,DB00217,1523,HIGH_EXACT
DRUG_000070,drugbank,DB00218,139462,HIGH_EXACT
DRUG_000070,twosides,CID000004259,139462,HIGH_EXACT
DRUG_000071,drugbank,DB00219,7818,HIGH_EXACT
DRUG_000072,drugbank,DB00220,134527,HIGH_EXACT
DRUG_000072,twosides,CID000004451,134527,HIGH_EXACT
DRUG_000073,drugbank,DB00221,6023,HIGH_EXACT
DRUG_000074,drugbank,DB00222,25789,HIGH_EXACT
DRUG_000074,twosides,CID000003476,25789,HIGH_EXACT
DRUG_000075,drugbank,DB00223,91311,HIGH_EXACT
DRUG_000076,drugbank,DB00224,114289,HIGH_EXACT
DRUG_000076,twosides,CID000003706,,UNRESOLVED
DRUG_000077,drugbank,DB00226,26296,HIGH_EXACT
DRUG_000078,drugbank,DB00227,6472,HIGH_EXACT
DRUG_000078,twosides,CID000003962,6472,HIGH_EXACT
DRUG_000079,drugbank,DB00228,3920,HIGH_EXACT
DRUG_000080,drugbank,DB00229,2188,HIGH_EXACT
DRUG_000081,drugbank,DB00230,187832,HIGH_EXACT
DRUG_000081,twosides,CID000125889,187832,HIGH_EXACT
DRUG_000082,drugbank,DB00231,10355,HIGH_EXACT
DRUG_000082,twosides,CID000005391,10355,HIGH_EXACT
DRUG_000083,drugbank,DB00232,6860,HIGH_EXACT
DRUG_000084,drugbank,DB00233,7833,HIGH_EXACT
DRUG_000085,drugbank,DB00234,60842,HIGH_EXACT
DRUG_000086,drugbank,DB00235,52769,HIGH_EXACT
DRUG_000087,drugbank,DB00236,8347,HIGH_EXACT
DRUG_000088,drugbank,DB00237,477631,HIGH_EXACT
DRUG_000089,drugbank,DB00238,53654,HIGH_EXACT
DRUG_000089,twosides,CID000004463,53654,HIGH_EXACT
DRUG_000090,drugbank,DB00239,32638,HIGH_EXACT
DRUG_000091,drugbank,DB00240,108088,HIGH_EXACT
DRUG_000092,drugbank,DB00241,19860,HIGH_EXACT
DRUG_000093,drugbank,DB00242,44157,HIGH_EXACT
DRUG_000093,twosides,CID000001546,44157,HIGH_EXACT
DRUG_000094,drugbank,DB00243,35829,HIGH_EXACT
DRUG_000094,twosides,CID000056959,35829,HIGH_EXACT
DRUG_000095,drugbank,DB00244,52582,HIGH_EXACT
DRUG_000095,twosides,CID000004075,52582,HIGH_EXACT
DRUG_000096,drugbank,DB00245,1424,HIGH_EXACT
DRUG_000097,drugbank,DB00246,115698,HIGH_EXACT
DRUG_000097,twosides,CID000060854,115698,HIGH_EXACT
DRUG_000098,drugbank,DB00247,6911,HIGH_EXACT
DRUG_000099,drugbank,DB00248,47579,HIGH_EXACT
DRUG_000099,twosides,CID000002512,47579,HIGH_EXACT
DRUG_000100,drugbank,DB00250,3108,HIGH_EXACT
DRUG_000100,twosides,CID000002955,3108,HIGH_EXACT
DRUG_000101,drugbank,DB00251,37806,HIGH_EXACT
DRUG_000102,drugbank,DB00252,8183,HIGH_EXACT
DRUG_000102,twosides,CID000001775,8183,HIGH_EXACT
DRUG_000103,drugbank,DB00253,29439,HIGH_EXACT
DRUG_000104,drugbank,DB00254,1545992,HIGH_EXACT
DRUG_000105,drugbank,DB00255,3390,HIGH_EXACT
DRUG_000106,drugbank,DB00256,6513,HIGH_EXACT
DRUG_000107,drugbank,DB00257,2623,HIGH_EXACT
DRUG_000107,twosides,CID000002812,2623,HIGH_EXACT
DRUG_000108,drugbank,DB00258,214342,HIGH_EXACT
DRUG_000109,drugbank,DB00259,10184,HIGH_EXACT
DRUG_000110,drugbank,DB00260,3007,HIGH_EXACT
DRUG_000111,drugbank,DB00261,596724,HIGH_EXACT
DRUG_000111,twosides,CID000002182,596724,HIGH_EXACT
DRUG_000112,drugbank,DB00262,2105,HIGH_EXACT
DRUG_000112,twosides,CID000002578,2105,HIGH_EXACT
DRUG_000113,drugbank,DB00263,10207,HIGH_EXACT
DRUG_000114,drugbank,DB00264,6918,HIGH_EXACT
DRUG_000114,twosides,CID000004171,6918,HIGH_EXACT
DRUG_000115,drugbank,DB00266,1598,HIGH_EXACT
DRUG_000116,drugbank,DB00267,,UNRESOLVED
DRUG_000117,drugbank,DB00268,72302,HIGH_EXACT
DRUG_000117,twosides,CID000005095,72302,HIGH_EXACT
DRUG_000118,drugbank,DB00270,33910,HIGH_EXACT
DRUG_000118,twosides,CID000003784,33910,HIGH_EXACT
DRUG_000119,drugbank,DB00271,1546223,HIGH_EXACT
DRUG_000120,drugbank,DB00273,38404,HIGH_EXACT
DRUG_000120,twosides,CID000005514,38404,HIGH_EXACT
DRUG_000121,drugbank,DB00274,2182,HIGH_EXACT
DRUG_000122,drugbank,DB00275,321064,HIGH_EXACT
DRUG_000123,drugbank,DB00276,739,HIGH_EXACT
DRUG_000124,drugbank,DB00277,10438,HIGH_EXACT
DRUG_000124,twosides,CID000002153,10438,HIGH_EXACT
DRUG_000125,drugbank,DB00278,15202,HIGH_EXACT
DRUG_000126,drugbank,DB00279,10814,HIGH_EXACT
DRUG_000126,twosides,CID000000861,10814,HIGH_EXACT
DRUG_000127,drugbank,DB00280,3541,HIGH_EXACT
DRUG_000127,twosides,CID000003114,3541,HIGH_EXACT
DRUG_000128,drugbank,DB00281,6387,HIGH_EXACT
DRUG_000128,twosides,CID000003676,6387,HIGH_EXACT
DRUG_000129,drugbank,DB00282,11473,HIGH_EXACT
DRUG_000129,twosides,CID000004674,1546406,HIGH_EXACT
DRUG_000130,drugbank,DB00283,2578,HIGH_EXACT
DRUG_000131,drugbank,DB00284,16681,HIGH_EXACT
DRUG_000132,drugbank,DB00285,39786,HIGH_EXACT
DRUG_000132,twosides,CID000005656,39786,HIGH_EXACT
DRUG_000133,drugbank,DB00287,283809,HIGH_EXACT
DRUG_000133,twosides,CID005282226,283809,HIGH_EXACT
DRUG_000134,drugbank,DB00288,17652,HIGH_EXACT
DRUG_000135,drugbank,DB00289,38400,HIGH_EXACT
DRUG_000135,twosides,CID000054841,38400,HIGH_EXACT
DRUG_000136,drugbank,DB00290,1622,HIGH_EXACT
DRUG_000137,drugbank,DB00291,2346,HIGH_EXACT
DRUG_000137,twosides,CID000002708,2346,HIGH_EXACT
DRUG_000138,drugbank,DB00292,4177,HIGH_EXACT
DRUG_000138,twosides,CID000036339,4177,HIGH_EXACT
DRUG_000139,drugbank,DB00293,196239,HIGH_EXACT
DRUG_000140,drugbank,DB00294,14584,HIGH_EXACT
DRUG_000140,twosides,CID000040976,14584,HIGH_EXACT
DRUG_000141,drugbank,DB00295,32926,HIGH_EXACT
DRUG_000141,twosides,CID000004253,,UNRESOLVED
DRUG_000142,drugbank,DB00296,35780,HIGH_EXACT
DRUG_000142,twosides,CID000071273,35780,HIGH_EXACT
DRUG_000143,drugbank,DB00297,1815,HIGH_EXACT
DRUG_000144,drugbank,DB01002,1815,HIGH_EXACT
DRUG_000145,twosides,CID000002474,,UNRESOLVED
DRUG_000146,drugbank,DB00298,22298,HIGH_EXACT
DRUG_000147,drugbank,DB00300,300195,HIGH_EXACT
DRUG_000147,twosides,CID005481350,300195,HIGH_EXACT
DRUG_000148,drugbank,DB00301,4448,HIGH_EXACT
DRUG_000149,drugbank,DB00302,10691,HIGH_EXACT
DRUG_000150,drugbank,DB00303,325642,HIGH_EXACT
DRUG_000150,twosides,CID000150610,325642,HIGH_EXACT
DRUG_000151,drugbank,DB00304,22656,HIGH_EXACT
DRUG_000152,drugbank,DB00305,632,HIGH_EXACT
DRUG_000152,twosides,CID000005746,632,HIGH_EXACT
DRUG_000153,drugbank,DB00307,233272,HIGH_EXACT
DRUG_000153,twosides,CID000082146,233272,HIGH_EXACT
DRUG_000154,drugbank,DB00308,41289,HIGH_EXACT
DRUG_000155,drugbank,DB00309,11204,HIGH_EXACT
DRUG_000156,drugbank,DB00310,2409,HIGH_EXACT
DRUG_000156,twosides,CID000002732,2409,HIGH_EXACT
DRUG_000157,drugbank,DB00312,8004,HIGH_EXACT
DRUG_000158,drugbank,DB00313,11118,HIGH_EXACT
DRUG_000158,twosides,CID000003121,11118,HIGH_EXACT
DRUG_000159,drugbank,DB00314,78903,HIGH_EXACT
DRUG_000160,drugbank,DB00315,135775,HIGH_EXACT
DRUG_000160,twosides,CID000005731,135775,HIGH_EXACT
DRUG_000161,drugbank,DB00316,161,HIGH_EXACT
DRUG_000161,twosides,CID000001983,161,HIGH_EXACT
DRUG_000162,drugbank,DB00317,328134,HIGH_EXACT
DRUG_000162,twosides,CID000123631,328134,HIGH_EXACT
DRUG_000163,drugbank,DB00318,1545976,HIGH_EXACT
DRUG_000164,drugbank,DB00319,1546000,HIGH_EXACT
DRUG_000165,drugbank,DB00320,3418,HIGH_EXACT
DRUG_000165,twosides,CID000003066,3418,HIGH_EXACT
DRUG_000166,drugbank,DB00321,704,HIGH_EXACT
DRUG_000166,twosides,CID000002160,704,HIGH_EXACT
DRUG_000167,drugbank,DB00322,4488,HIGH_EXACT
DRUG_000168,drugbank,DB00323,72937,HIGH_EXACT
DRUG_000168,twosides,CID004659569,72937,HIGH_EXACT
DRUG_000169,drugbank,DB00324,4491,HIGH_EXACT
DRUG_000169,twosides,CID000003384,4491,HIGH_EXACT
DRUG_000170,drugbank,DB00325,7476,HIGH_EXACT
DRUG_000171,drugbank,DB00326,47618,HIGH_EXACT
DRUG_000172,drugbank,DB00327,3423,HIGH_EXACT
DRUG_000172,twosides,CID000003648,3423,HIGH_EXACT
DRUG_000173,drugbank,DB00328,5781,HIGH_EXACT
DRUG_000173,twosides,CID000003715,5781,HIGH_EXACT
DRUG_000174,drugbank,DB00330,4110,HIGH_EXACT
DRUG_000174,twosides,CID000003279,4110,HIGH_EXACT
DRUG_000175,drugbank,DB00331,6809,HIGH_EXACT
DRUG_000175,twosides,CID000004091,6809,HIGH_EXACT
DRUG_000176,drugbank,DB00332,1546373,HIGH_EXACT
DRUG_000176,twosides,CID000003746,,UNRESOLVED
DRUG_000177,drugbank,DB00333,6813,HIGH_EXACT
DRUG_000177,twosides,CID000004095,6813,HIGH_EXACT
DRUG_000178,drugbank,DB00334,61381,HIGH_EXACT
DRUG_000179,drugbank,DB00335,1202,HIGH_EXACT
DRUG_000179,twosides,CID000002249,1202,HIGH_EXACT
DRUG_000180,drugbank,DB00336,7455,HIGH_EXACT
DRUG_000181,drugbank,DB00337,321952,HIGH_EXACT
DRUG_000181,twosides,CID006447131,321952,HIGH_EXACT
DRUG_000182,drugbank,DB00338,7646,HIGH_EXACT
DRUG_000182,twosides,CID000004594,7646,HIGH_EXACT
DRUG_000183,drugbank,DB00339,8987,HIGH_EXACT
DRUG_000183,twosides,CID000001046,8987,HIGH_EXACT
DRUG_000184,drugbank,DB00340,29682,HIGH_EXACT
DRUG_000185,drugbank,DB00341,20610,HIGH_EXACT
DRUG_000186,drugbank,DB06282,356887,HIGH_EXACT
DRUG_000187,twosides,CID000002678,20610,HIGH_EXACT
DRUG_000188,drugbank,DB00343,3443,HIGH_EXACT
DRUG_000189,drugbank,DB00344,8886,HIGH_EXACT
DRUG_000190,drugbank,DB00345,42837,HIGH_EXACT
DRUG_000191,drugbank,DB00346,17300,HIGH_EXACT
DRUG_000191,twosides,CID000002092,17300,HIGH_EXACT
DRUG_000192,drugbank,DB00347,10827,HIGH_EXACT
DRUG_000193,drugbank,DB00349,21241,HIGH_EXACT
DRUG_000194,drugbank,DB00350,6984,HIGH_EXACT
DRUG_000195,drugbank,DB00351,29451,HIGH_EXACT
DRUG_000196,drugbank,DB00352,10485,HIGH_EXACT
DRUG_000197,drugbank,DB00353,6883,HIGH_EXACT
DRUG_000197,twosides,CID000004140,6883,HIGH_EXACT
DRUG_000198,drugbank,DB00354,59636,HIGH_EXACT
DRUG_000199,drugbank,DB00355,1272,HIGH_EXACT
DRUG_000200,drugbank,DB00356,2410,HIGH_EXACT
DRUG_000200,twosides,CID000002733,2410,HIGH_EXACT
DRUG_000201,drugbank,DB00357,677,HIGH_EXACT
DRUG_000202,drugbank,DB00358,6694,HIGH_EXACT
DRUG_000202,twosides,CID000004046,6694,HIGH_EXACT
DRUG_000203,drugbank,DB00359,10171,HIGH_EXACT
DRUG_000203,twosides,CID000005215,10171,HIGH_EXACT
DRUG_000204,drugbank,DB00360,753340,HIGH_EXACT
DRUG_000205,drugbank,DB00361,39541,HIGH_EXACT
DRUG_000205,twosides,CID000005672,39541,HIGH_EXACT
DRUG_000206,drugbank,DB00362,341018,HIGH_EXACT
DRUG_000207,drugbank,DB00363,2626,HIGH_EXACT
DRUG_000208,drugbank,DB00364,10156,HIGH_EXACT
DRUG_000209,drugbank,DB00366,3642,HIGH_EXACT
DRUG_000210,drugbank,DB00367,6373,HIGH_EXACT
DRUG_000211,drugbank,DB09389,7518,HIGH_EXACT
DRUG_000212,twosides,CID000004542,7518,HIGH_EXACT
DRUG_000213,drugbank,DB00368,7512,HIGH_EXACT
DRUG_000214,drugbank,DB00369,1546007,HIGH_EXACT
DRUG_000215,drugbank,DB00370,15996,HIGH_EXACT
DRUG_000215,twosides,CID000004205,15996,HIGH_EXACT
DRUG_000216,drugbank,DB00371,6760,HIGH_EXACT
DRUG_000216,twosides,CID000004064,6760,HIGH_EXACT
DRUG_000217,drugbank,DB00373,10600,HIGH_EXACT
DRUG_000217,twosides,CID000005478,,UNRESOLVED
DRUG_000218,drugbank,DB00374,343048,HIGH_EXACT
DRUG_000218,twosides,CID000054786,343048,HIGH_EXACT
DRUG_000219,drugbank,DB00376,10811,HIGH_EXACT
DRUG_000219,twosides,CID000005572,10811,HIGH_EXACT
DRUG_000220,drugbank,DB00377,70561,HIGH_EXACT
DRUG_000220,twosides,CID000148211,70561,HIGH_EXACT
DRUG_000221,drugbank,DB00378,3706,HIGH_EXACT
DRUG_000222,drugbank,DB00379,6926,HIGH_EXACT
DRUG_000222,twosides,CID000004178,6926,HIGH_EXACT
DRUG_000223,drugbank,DB00380,42736,HIGH_EXACT
DRUG_000224,drugbank,DB00381,17767,HIGH_EXACT
DRUG_000224,twosides,CID000002162,17767,HIGH_EXACT
DRUG_000225,drugbank,DB00384,10763,HIGH_EXACT
DRUG_000226,drugbank,DB00385,31435,HIGH_EXACT
DRUG_000227,drugbank,DB00387,8718,HIGH_EXACT
DRUG_000228,drugbank,DB00388,8163,HIGH_EXACT
DRUG_000229,drugbank,DB00389,2020,HIGH_EXACT
DRUG_000230,drugbank,DB00390,3407,HIGH_EXACT
DRUG_000230,twosides,CID000003062,3407,HIGH_EXACT
DRUG_000231,drugbank,DB00391,10239,HIGH_EXACT
DRUG_000232,drugbank,DB00392,4134,HIGH_EXACT
DRUG_000233,drugbank,DB00393,7426,HIGH_EXACT
DRUG_000233,twosides,CID000004497,7426,HIGH_EXACT
DRUG_000234,drugbank,DB00394,1348,HIGH_EXACT
DRUG_000235,drugbank,DB00395,2101,HIGH_EXACT
DRUG_000235,twosides,CID000002576,2101,HIGH_EXACT
DRUG_000236,drugbank,DB00396,8727,HIGH_EXACT
DRUG_000236,twosides,CID000004920,8727,HIGH_EXACT
DRUG_000237,drugbank,DB00397,8175,HIGH_EXACT
DRUG_000238,drugbank,DB00398,495881,HIGH_EXACT
DRUG_000238,twosides,CID000216239,495881,HIGH_EXACT
DRUG_000239,drugbank,DB00399,1546014,HIGH_EXACT
DRUG_000239,twosides,CID000068740,77655,HIGH_EXACT
DRUG_000240,drugbank,DB00400,5021,HIGH_EXACT
DRUG_000241,drugbank,DB00401,7435,HIGH_EXACT
DRUG_000241,twosides,CID000004499,7435,HIGH_EXACT
DRUG_000242,drugbank,DB00402,461016,HIGH_EXACT
DRUG_000243,drugbank,DB01198,40001,HIGH_EXACT
DRUG_000244,twosides,CID000005735,40001,HIGH_EXACT
DRUG_000245,drugbank,DB00404,596,HIGH_EXACT
DRUG_000245,twosides,CID000002118,596,HIGH_EXACT
DRUG_000246,drugbank,DB00405,1767,HIGH_EXACT
DRUG_000247,drugbank,DB00408,6475,HIGH_EXACT
DRUG_000247,twosides,CID000003964,6475,HIGH_EXACT
DRUG_000248,drugbank,DB00409,35350,HIGH_EXACT
DRUG_000249,drugbank,DB00410,42372,HIGH_EXACT
DRUG_000249,twosides,CID000004264,42372,HIGH_EXACT
DRUG_000250,drugbank,DB00411,1546387,HIGH_EXACT
DRUG_000250,twosides,CID000002551,1546387,HIGH_EXACT
DRUG_000251,drugbank,DB00412,84108,HIGH_EXACT
DRUG_000251,twosides,CID000077999,84108,HIGH_EXACT
DRUG_000252,drugbank,DB00413,746741,HIGH_EXACT
DRUG_000252,twosides,CID000004885,746741,HIGH_EXACT
DRUG_000253,drugbank,DB00415,221058,HIGH_EXACT
DRUG_000254,drugbank,DB00417,7984,HIGH_EXACT
DRUG_000255,drugbank,DB00418,9624,HIGH_EXACT
DRUG_000256,drugbank,DB00419,402316,HIGH_EXACT
DRUG_000256,twosides,CID000051634,402316,HIGH_EXACT
DRUG_000257,drugbank,DB00420,8742,HIGH_EXACT
DRUG_000258,drugbank,DB00421,9997,HIGH_EXACT
DRUG_000258,twosides,CID000005267,9997,HIGH_EXACT
DRUG_000259,drugbank,DB00422,6901,HIGH_EXACT
DRUG_000260,drugbank,DB06701,352372,HIGH_EXACT
DRUG_000261,twosides,CID000004158,6901,HIGH_EXACT
DRUG_000262,drugbank,DB00423,6845,HIGH_EXACT
DRUG_000262,twosides,CID000004107,6845,HIGH_EXACT
DRUG_000263,drugbank,DB00424,153970,HIGH_EXACT
DRUG_000264,drugbank,DB00572,1223,HIGH_EXACT
DRUG_000265,twosides,CID000003661,,UNRESOLVED
DRUG_000266,drugbank,DB00425,39993,HIGH_EXACT
DRUG_000266,twosides,CID000005732,39993,HIGH_EXACT
DRUG_000267,drugbank,DB00426,68099,HIGH_EXACT
DRUG_000267,twosides,CID000003324,68099,HIGH_EXACT
DRUG_000268,drugbank,DB00427,10849,HIGH_EXACT
DRUG_000269,drugbank,DB00428,10114,HIGH_EXACT
DRUG_000270,drugbank,DB00429,20259,HIGH_EXACT
DRUG_000271,drugbank,DB00430,,UNRESOLVED
DRUG_000272,drugbank,DB00432,10803,HIGH_EXACT
DRUG_000273,drugbank,DB00433,8704,HIGH_EXACT
DRUG_000273,twosides,CID000004917,8704,HIGH_EXACT
DRUG_000274,drugbank,DB00434,3013,HIGH_EXACT
DRUG_000275,drugbank,DB00435,7442,HIGH_EXACT
DRUG_000275,twosides,CID000145068,7442,HIGH_EXACT
DRUG_000276,drugbank,DB00436,1369,HIGH_EXACT
DRUG_000277,drugbank,DB00437,519,HIGH_EXACT
DRUG_000278,drugbank,DB00438,1545984,HIGH_EXACT
DRUG_000278,twosides,CID000002650,,UNRESOLVED
DRUG_000279,drugbank,DB00440,10829,HIGH_EXACT
DRUG_000279,twosides,CID000005578,10829,HIGH_EXACT
DRUG_000280,drugbank,DB00441,12574,HIGH_EXACT
DRUG_000280,twosides,CID000003461,12574,HIGH_EXACT
DRUG_000281,drugbank,DB00442,1546027,HIGH_EXACT
DRUG_000281,twosides,CID000153941,,UNRESOLVED
DRUG_000282,drugbank,DB00443,1514,HIGH_EXACT
DRUG_000283,drugbank,DB01234,3264,HIGH_EXACT
DRUG_000284,twosides,CID000003003,,UNRESOLVED
DRUG_000285,drugbank,DB00444,10362,HIGH_EXACT
DRUG_000286,drugbank,DB00445,3995,HIGH_EXACT
DRUG_000287,drugbank,DB00446,2348,HIGH_EXACT
DRUG_000287,twosides,CID000000298,2348,HIGH_EXACT
DRUG_000288,drugbank,DB00448,17128,HIGH_EXACT
DRUG_000289,drugbank,DB05351,816346,HIGH_EXACT
DRUG_000290,twosides,CID000003883,17128,HIGH_EXACT
DRUG_000291,drugbank,DB00449,23410,HIGH_EXACT
DRUG_000292,drugbank,DB00450,3648,HIGH_EXACT
DRUG_000292,twosides,CID000003168,3648,HIGH_EXACT
DRUG_000293,drugbank,DB00451,10582,HIGH_EXACT
DRUG_000293,twosides,CID000000853,10582,HIGH_EXACT
DRUG_000294,drugbank,DB00452,4556,HIGH_EXACT
DRUG_000295,drugbank,DB00453,,UNRESOLVED
DRUG_000296,drugbank,DB00454,6754,HIGH_EXACT
DRUG_000296,twosides,CID000004058,6754,HIGH_EXACT
DRUG_000297,drugbank,DB00455,28889,HIGH_EXACT
DRUG_000297,twosides,CID000003957,28889,HIGH_EXACT
DRUG_000298,drugbank,DB00456,2236,HIGH_EXACT
DRUG_000299,drugbank,DB00457,8629,HIGH_EXACT
DRUG_000299,twosides,CID000004893,8629,HIGH_EXACT
DRUG_000300,drugbank,DB00458,5691,HIGH_EXACT
DRUG_000300,twosides,CID000003696,5691,HIGH_EXACT
DRUG_000301,drugbank,DB00459,16818,HIGH_EXACT
DRUG_000301,twosides,CID000041317,16818,HIGH_EXACT
DRUG_000302,drugbank,DB00460,118886,HIGH_EXACT
DRUG_000302,twosides,CID005362420,118886,HIGH_EXACT
DRUG_000303,drugbank,DB00461,31448,HIGH_EXACT
DRUG_000303,twosides,CID000004409,31448,HIGH_EXACT
DRUG_000304,drugbank,DB00462,56092,HIGH_EXACT
DRUG_000305,drugbank,DB00465,35827,HIGH_EXACT
DRUG_000305,twosides,CID000003826,35827,HIGH_EXACT
DRUG_000306,drugbank,DB00467,3925,HIGH_EXACT
DRUG_000307,drugbank,DB00468,9071,HIGH_EXACT
DRUG_000308,drugbank,DB00908,9068,HIGH_EXACT
DRUG_000309,twosides,CID000001065,,UNRESOLVED
